idx,text,all_labels,all_preds,all_fixed_preds,matching_comments
44,kurang bersih saja . tetapi keseluruhan lumayan lah .,"('keseluruhan', 'lumayan', 'negatif')","('kebersihan', 'lumayan', 'positif')","('bersih', 'lumayan', 'positif')",No Label Matched
45,"hmm tidak sesuai ekpektasi , bangunan lama dan kurang bersih , kamar mandinya airnya mengalir terus , jadi berisik , tv masih tabung , kecewa sih untuk di harga itu tetapi fasilitas seperti itu , sarapannya juga tidak banyak pilihan , pas mau makan sudah dingin recepsionis tidak ramah .","('fasilitas', 'kecewa', 'negatif')",-,-,Not Generated
45,"hmm tidak sesuai ekpektasi , bangunan lama dan kurang bersih , kamar mandinya airnya mengalir terus , jadi berisik , tv masih tabung , kecewa sih untuk di harga itu tetapi fasilitas seperti itu , sarapannya juga tidak banyak pilihan , pas mau makan sudah dingin recepsionis tidak ramah .","('kamar mandinya airnya', 'berisik', 'negatif')",-,-,Not Generated
45,"hmm tidak sesuai ekpektasi , bangunan lama dan kurang bersih , kamar mandinya airnya mengalir terus , jadi berisik , tv masih tabung , kecewa sih untuk di harga itu tetapi fasilitas seperti itu , sarapannya juga tidak banyak pilihan , pas mau makan sudah dingin recepsionis tidak ramah .","('kamar mandinya airnya', 'mengalir terus', 'negatif')",-,-,Not Generated
45,"hmm tidak sesuai ekpektasi , bangunan lama dan kurang bersih , kamar mandinya airnya mengalir terus , jadi berisik , tv masih tabung , kecewa sih untuk di harga itu tetapi fasilitas seperti itu , sarapannya juga tidak banyak pilihan , pas mau makan sudah dingin recepsionis tidak ramah .","('makan', 'sudah dingin', 'negatif')",-,-,Not Generated
45,"hmm tidak sesuai ekpektasi , bangunan lama dan kurang bersih , kamar mandinya airnya mengalir terus , jadi berisik , tv masih tabung , kecewa sih untuk di harga itu tetapi fasilitas seperti itu , sarapannya juga tidak banyak pilihan , pas mau makan sudah dingin recepsionis tidak ramah .","('tv', 'masih tabung', 'negatif')","('tv', 'tabung', 'negatif')","('tv', 'tabung', 'negatif')",Different Sentiment Term
48,"tempatnya bagus , nyaman , recommended pokoknya .",-,"('tempatnya', 'recommended', 'positif')","('tempatnya', 'recommended', 'positif')",No Label Matched
52,"hotelnya bersih , wifi nya berjalan lancar , tempat sepi enak buat istirahat .","('tempat', 'enak', 'positif')",-,-,Not Generated
52,"hotelnya bersih , wifi nya berjalan lancar , tempat sepi enak buat istirahat .","('wifi nya', 'lancar', 'positif')","('wifi nya', 'berjalan lancar', 'positif')","('wifi nya', 'berjalan lancar', 'positif')",Different Sentiment Term
56,"dengan harga segitu , bisa dapat kamar penginapan yang full fasilitas . mulai air hangat , ac , dan tv dengan saluran lengkap .","('fasilitas', 'full', 'positif')","('ac', 'dapat', 'positif')","('ac', 'dapat', 'positif')",Subset aspect/sentiment
56,"dengan harga segitu , bisa dapat kamar penginapan yang full fasilitas . mulai air hangat , ac , dan tv dengan saluran lengkap .","('tv', 'saluran lengkap', 'positif')","('tv', 'lengkap', 'positif')","('tv', 'lengkap', 'positif')",Different Sentiment Term
56,"dengan harga segitu , bisa dapat kamar penginapan yang full fasilitas . mulai air hangat , ac , dan tv dengan saluran lengkap .",-,"('air hangat', 'dapat', 'positif')","('air hangat', 'dapat', 'positif')",No Label Matched
56,"dengan harga segitu , bisa dapat kamar penginapan yang full fasilitas . mulai air hangat , ac , dan tv dengan saluran lengkap .",-,"('harga', 'bisa dapat', 'positif')","('harga', 'bisa dapat', 'positif')",No Label Matched
56,"dengan harga segitu , bisa dapat kamar penginapan yang full fasilitas . mulai air hangat , ac , dan tv dengan saluran lengkap .",-,"('kamar penginapan', 'full fasilitas', 'positif')","('kamar penginapan', 'full fasilitas', 'positif')",No Label Matched
58,"pelayanan mantap , suasana nya nyaman , bisa bermain dengan keluarga dan anak , untuk kedepannya tolong lebih bersih lagi ruangan kamarnya , termasuk kamar mandi nya .","('bermain', 'bisa', 'positif')",-,-,Not Generated
58,"pelayanan mantap , suasana nya nyaman , bisa bermain dengan keluarga dan anak , untuk kedepannya tolong lebih bersih lagi ruangan kamarnya , termasuk kamar mandi nya .","('suasana nya', 'nyaman', 'positif')","('kamar mandi nya', 'tolong lebih bersih lagi', 'negatif')","('kamar mandi nya', 'tolong lebih bersih lagi', 'negatif')",No Label Matched
59,nyaman stay disini mas yang jaga malam baik .,"('mas yang jaga malam', 'baik', 'positif')","('yang jaga malam', 'baik', 'positif')","('yang jaga malam', 'baik', 'positif')",Different Aspect Term
59,nyaman stay disini mas yang jaga malam baik .,"('stay disini', 'nyaman', 'positif')",-,-,Not Generated
61,"kamar tidak sesuai dengan gambar , kamar dan kamar mandi kotor , seprai seperti bekas pakai ada rambut , ac mati setiap 30 menit sekali ( tidak bisa direset timernya ) , listrik kamar mati jam 1 pagi .","('seprai', 'ada rambut', 'negatif')","('seprai', 'bekas pakai', 'negatif')","('seprai', 'bekas pakai', 'negatif')",Different Sentiment Term
61,"kamar tidak sesuai dengan gambar , kamar dan kamar mandi kotor , seprai seperti bekas pakai ada rambut , ac mati setiap 30 menit sekali ( tidak bisa direset timernya ) , listrik kamar mati jam 1 pagi .","('seprai', 'seperti bekas pakai', 'negatif')",-,-,Not Generated
61,"kamar tidak sesuai dengan gambar , kamar dan kamar mandi kotor , seprai seperti bekas pakai ada rambut , ac mati setiap 30 menit sekali ( tidak bisa direset timernya ) , listrik kamar mati jam 1 pagi .","('timernya', 'tidak bisa direset', 'negatif')",-,-,Not Generated
63,nyaman sih . cuma agak sempit . makanan lumayanlah untuk perut lapar . tetapi kopinya amat sangat tidak enak . pelayanan ramah . kamar bersih . kurang relah rela beli neskafe sachet dari pada minum kopinya hotel .,"('makanan', 'lumayanlah', 'positif')","('makanan', 'lumayanlah', 'netral')","('makanan', 'lumayanlah', 'netral')",Different Polarity
64,ac nya parah . berisik bersuara . buat tidak bisa tidur sama sekali . lokasi nya susah minta ampun ditemukan .,"('ac nya', 'berisik bersuara', 'negatif')","('ac nya', 'berisik', 'negatif')","('ac nya', 'berisik', 'negatif')",Different Sentiment Term
64,ac nya parah . berisik bersuara . buat tidak bisa tidur sama sekali . lokasi nya susah minta ampun ditemukan .,"('tidur', 'tidak bisa', 'negatif')",-,-,Not Generated
67,"baik semua , lengkap dan reservasi baik , pelayanan ramah dan good for airy .","('airy', 'good', 'positif')","('pelayanan', 'good', 'positif')","('pelayanan', 'good', 'positif')",Different Aspect Term
70,pilih kamar yang kasurnya muat 2 orang . awalnya bagus tetapi tengah malam listriknya habis dan disuruh pindah kamar yang kasurnya lebih kecil . tidak ada disediakan pouch yang isinya perlengkapan mandi . agak kecewa sebenarnya .,"('awalnya', 'bagus', 'negatif')","('pouch', 'tidak ada', 'negatif')","('pouch', 'tidak ada', 'negatif')",Subset aspect/sentiment
70,pilih kamar yang kasurnya muat 2 orang . awalnya bagus tetapi tengah malam listriknya habis dan disuruh pindah kamar yang kasurnya lebih kecil . tidak ada disediakan pouch yang isinya perlengkapan mandi . agak kecewa sebenarnya .,"('kasurnya', 'kecil', 'negatif')","('kasurnya', 'muat 2 orang', 'negatif')","('kasurnya', 'muat 2 orang', 'negatif')",Different Sentiment Term
70,pilih kamar yang kasurnya muat 2 orang . awalnya bagus tetapi tengah malam listriknya habis dan disuruh pindah kamar yang kasurnya lebih kecil . tidak ada disediakan pouch yang isinya perlengkapan mandi . agak kecewa sebenarnya .,"('listriknya', 'habis', 'negatif')",-,-,Not Generated
70,pilih kamar yang kasurnya muat 2 orang . awalnya bagus tetapi tengah malam listriknya habis dan disuruh pindah kamar yang kasurnya lebih kecil . tidak ada disediakan pouch yang isinya perlengkapan mandi . agak kecewa sebenarnya .,"('pouch yang isinya perlengkapan mandi', 'tidak ada disediakan', 'negatif')",-,-,Not Generated
71,free wifi mengecewakan karena tidak bisa digunakan intalasi listrik kurang rapi .,"('free wifi', 'mengecewakan', 'negatif')","('wifi', 'mengecewakan', 'negatif')","('wifi', 'mengecewakan', 'negatif')",Different Aspect Term
77,"tempatnya bersih dan nyaman , good , like it .",-,"('tempatnya', 'good', 'positif')","('tempatnya', 'good', 'positif')",No Label Matched
77,"tempatnya bersih dan nyaman , good , like it .",-,"('tempatnya', 'like', 'positif')","('tempatnya', 'like', 'positif')",No Label Matched
83,"1 . hentikan kontak dari yang tersedia 6 lubang , yang bisa dipakai cuma 1 lubang , 2 lubang buat tv dan kulkas . kok pelit listrik banget , terus pas pakai kompor listrik bahkan turun daya .","('daya', 'turun', 'negatif')",-,-,Not Generated
83,"1 . hentikan kontak dari yang tersedia 6 lubang , yang bisa dipakai cuma 1 lubang , 2 lubang buat tv dan kulkas . kok pelit listrik banget , terus pas pakai kompor listrik bahkan turun daya .","('listrik', 'pelit', 'negatif')","('kompor listrik', 'pelit', 'negatif')","('kompor listrik', 'pelit', 'negatif')",Different Aspect Term
83,"1 . hentikan kontak dari yang tersedia 6 lubang , yang bisa dipakai cuma 1 lubang , 2 lubang buat tv dan kulkas . kok pelit listrik banget , terus pas pakai kompor listrik bahkan turun daya .","('yang bisa dipakai', 'cuma 1', 'negatif')",-,-,Not Generated
87,"overall oke , hanya ac kurang dingin , banyak cat sudab lapuk perlu cat ulang , pegawai ramah dekat kemana mana .","('banyak cat', 'sudab lapuk', 'negatif')","('cat', 'lapuk', 'negatif')","('cat', 'lapuk', 'negatif')",Subset aspect/sentiment
91,"kamar mandi bau banget , kamar gelap , overall oke untuk harga segitu . tolong di perhatikan lampu dan kamar mandi nya iya . thankyou !","('kamar mandi', 'bau banget', 'positif')","('kamar mandi', 'bau banget', 'negatif')","('kamar mandi', 'bau banget', 'negatif')",Different Polarity
91,"kamar mandi bau banget , kamar gelap , overall oke untuk harga segitu . tolong di perhatikan lampu dan kamar mandi nya iya . thankyou !","('kamar mandi', 'tolong di perhatikan', 'negatif')",-,-,Not Generated
91,"kamar mandi bau banget , kamar gelap , overall oke untuk harga segitu . tolong di perhatikan lampu dan kamar mandi nya iya . thankyou !","('lampu', 'tolong di perhatikan', 'negatif')",-,-,Not Generated
92,wifi nya tolong diperkuat sinyal dan ditambah bandwithnya .,"('wifi nya', 'ditambah bandwithnya', 'negatif')","('wifi nya', 'tolong diperkuat sinyal', 'negatif')","('wifi nya', 'tolong diperkuat sinyal', 'negatif')",Different Sentiment Term
92,wifi nya tolong diperkuat sinyal dan ditambah bandwithnya .,"('wifi nya', 'tolong diperkuat', 'negatif')","('bandwithnya', 'ditambah', 'negatif')","('bandwithnya', 'ditambah', 'negatif')",Subset aspect/sentiment
95,"kamar sangat bersih dan nyaman , hotel bersih , akan lebih baik ada hair dryer di kamar .","('hair dryer', 'akan lebih baik ada', 'positif')","('hair dryer', 'ada', 'positif')","('hair dryer', 'ada', 'positif')",Different Sentiment Term
98,suka banget pakai airy . dihotelnya juga nyaman memang cuma sinyalnya yang susah tetapi pelayanan suka dengan harga segitu cucp habis besok q pakai airy lagi kalau psanpsan hotel .,"('pakai airy', 'suka banget', 'positif')",-,-,Not Generated
102,"sangat ramah , sangat bersih , sangat memuaskan .",-,"('pelayanan', 'sangat memuaskan', 'positif')","('memuaskan', 'sangat memuaskan', 'positif')",No Label Matched
107,"ukuran handuk yang tersedia sangat kecil , dan saya check in jam 6 magrib sudah di suruh check out jam 1 .","('check out', 'di suruh', 'negatif')","('ukuran handuk', 'sangat kecil', 'negatif')","('ukuran handuk', 'sangat kecil', 'negatif')",Subset aspect/sentiment
107,"ukuran handuk yang tersedia sangat kecil , dan saya check in jam 6 magrib sudah di suruh check out jam 1 .","('handuk', 'sangat kecil', 'positif')",-,-,Not Generated
112,"sangat memuaskan . tempat nyaman , bersih , penjaga nya ramah , dekat dengan prawirotaman . harga terjangkau .","('prawirotaman', 'dekat', 'positif')","('tempat', 'bersih', 'positif')","('tempat', 'bersih', 'positif')",Subset aspect/sentiment
116,"untuk budget room lumayan lah , sesuai harga .","('harga', 'sesuai', 'positif')",-,-,Not Generated
116,"untuk budget room lumayan lah , sesuai harga .","('room', 'lumayan', 'positif')","('budget room', 'lumayan', 'positif')","('budget room', 'lumayan', 'positif')",Different Aspect Term
119,aku suka disini . dapat kue basah dan ada coffee yang super enak .,"('disini', 'suka', 'positif')","('kue', 'basah', 'positif')","('kue', 'basah', 'positif')",Subset aspect/sentiment
119,aku suka disini . dapat kue basah dan ada coffee yang super enak .,"('kue basah', 'super enak', 'positif')",-,-,Not Generated
125,staf nya ramah dan bersedia memberikan bantuan tanpa diminta secara langsung . good job airy eco sleman merapi .,"('airy', 'good', 'positif')","('staf nya', 'bersedia memberikan bantuan tanpa diminta secara langsung', 'positif')","('staf nya', 'bersedia memberikan bantuan tanpa diminta secara langsung', 'positif')",Subset aspect/sentiment
125,staf nya ramah dan bersedia memberikan bantuan tanpa diminta secara langsung . good job airy eco sleman merapi .,"('memberikan bantuan', 'tanpa diminta', 'positif')",-,-,Not Generated
128,"kamarnya bersih , nyaman , adem dan anti macet .","('macet', 'anti', 'positif')","('kamarnya', 'anti macet', 'positif')","('kamarnya', 'anti macet', 'positif')",Subset aspect/sentiment
133,"kecewa berat belum check in mau cencel gede rasa "" ada bwk kwn mau rayain ulang tahun tk di perbolehkan . harus ada surat nikah apalah ribet . sudah tk check in tk bisa cencel uang tk di kemblikan bad !","('cencel', 'tk bisa', 'negatif')","('check in', 'belum', 'negatif')","('check in', 'belum', 'negatif')",Subset aspect/sentiment
133,"kecewa berat belum check in mau cencel gede rasa "" ada bwk kwn mau rayain ulang tahun tk di perbolehkan . harus ada surat nikah apalah ribet . sudah tk check in tk bisa cencel uang tk di kemblikan bad !","('mau rayain ulang tahun', 'tk di perbolehkan', 'negatif')",-,-,Not Generated
133,"kecewa berat belum check in mau cencel gede rasa "" ada bwk kwn mau rayain ulang tahun tk di perbolehkan . harus ada surat nikah apalah ribet . sudah tk check in tk bisa cencel uang tk di kemblikan bad !","('surat nikah', 'harus ada', 'negatif')",-,-,Not Generated
133,"kecewa berat belum check in mau cencel gede rasa "" ada bwk kwn mau rayain ulang tahun tk di perbolehkan . harus ada surat nikah apalah ribet . sudah tk check in tk bisa cencel uang tk di kemblikan bad !","('uang', 'tk di kemblikan', 'negatif')",-,-,Not Generated
137,breakfast biasa saja dan porsinya sedikit .,"('breakfast', 'biasa saja', 'negatif')","('breakfast', 'biasa saja', 'netral')","('breakfast', 'biasa saja', 'netral')",Different Polarity
140,"kamar bersih , kamar mandi bersih , kolam renang baik , classic atmosphere .","('atmosphere', 'classic', 'positif')",-,-,Not Generated
140,"kamar bersih , kamar mandi bersih , kolam renang baik , classic atmosphere .","('kamar', 'bersih', 'negatif')","('kamar', 'bersih', 'positif')","('kamar', 'bersih', 'positif')",Different Polarity
141,"tempat mandi banyak yang tidak bagus , mengingat harganya cukup murah .","('tempat mandi', 'tidak bagus', 'negatif')","('tempat mandi', 'banyak yang tidak bagus', 'negatif')","('tempat mandi', 'banyak yang tidak bagus', 'negatif')",Different Sentiment Term
155,"lumayan lah . sangat terjangkau , namun perlu ada yang dibenahi soal kebersihan kasurnya . kemarin saya mendapati kasurnya jorok , banyak helai rambut , sepertinya belum dibersihkan belum diganti seprai bekas pengunjung sebelumnya .","('dibersihkan', 'belum', 'negatif')","('kasurnya', 'banyak helai rambut', 'negatif')","('kasurnya', 'banyak helai rambut', 'negatif')",Subset aspect/sentiment
155,"lumayan lah . sangat terjangkau , namun perlu ada yang dibenahi soal kebersihan kasurnya . kemarin saya mendapati kasurnya jorok , banyak helai rambut , sepertinya belum dibersihkan belum diganti seprai bekas pengunjung sebelumnya .","('kebersihan kasurnya', 'perlu ada yang dibenahi', 'negatif')",-,-,Not Generated
155,"lumayan lah . sangat terjangkau , namun perlu ada yang dibenahi soal kebersihan kasurnya . kemarin saya mendapati kasurnya jorok , banyak helai rambut , sepertinya belum dibersihkan belum diganti seprai bekas pengunjung sebelumnya .","('seprai', 'belum diganti', 'negatif')",-,-,Not Generated
156,"bagus nyaman beraih rapi wangi , top banget .",-,"('aih', 'rapi', 'positif')","('beraih', 'rapi', 'positif')",No Label Matched
156,"bagus nyaman beraih rapi wangi , top banget .",-,"('aih', 'wangi', 'positif')","('beraih', 'wangi', 'positif')",No Label Matched
157,pelayan cepat .,"('pelayan', 'cepat', 'negatif')","('pelayan', 'cepat', 'positif')","('pelayan', 'cepat', 'positif')",Different Polarity
158,kamarnya oke banget . brsih dan juga ramah . recomended banget .,-,"('kamarnya', 'brsih', 'positif')","('kamarnya', 'brsih', 'positif')",No Label Matched
158,kamarnya oke banget . brsih dan juga ramah . recomended banget .,-,"('kamarnya', 'ramah', 'positif')","('kamarnya', 'ramah', 'positif')",No Label Matched
161,"bagus , bersih , luas dan murahh . nuwun .",-,"('tempatnya', 'bagus', 'positif')","('dan', 'bagus', 'positif')",No Label Matched
161,"bagus , bersih , luas dan murahh . nuwun .",-,"('tempatnya', 'bersih', 'positif')","('dan', 'bersih', 'positif')",No Label Matched
161,"bagus , bersih , luas dan murahh . nuwun .",-,"('tempatnya', 'luas', 'positif')","('dan', 'luas', 'positif')",No Label Matched
161,"bagus , bersih , luas dan murahh . nuwun .",-,"('tempatnya', 'murahh', 'positif')","('dan', 'murahh', 'positif')",No Label Matched
162,kebersihan lemari dan perabot . tidak ada wifi .,"('lemari', 'kebersihan', 'positif')",-,-,Not Generated
162,kebersihan lemari dan perabot . tidak ada wifi .,"('perabot', 'kebersihan', 'positif')","('perabot', 'tidak ada wifi', 'negatif')","('perabot', 'tidak ada wifi', 'negatif')",No Label Matched
162,kebersihan lemari dan perabot . tidak ada wifi .,"('wifi', 'tidak ada', 'negatif')","('kebersihan lemari', 'tidak ada', 'negatif')","('kebersihan lemari', 'tidak ada', 'negatif')",Different Aspect Term
163,"pas dapat kamar yang airnya mengalir terus , buat susah tidur . makanan iya alhamdulillah , lokasi strategis . lorong menuju kamar apek , ganti atau hilangkan karpetnya saja mungkin akan lebih baik . staf ? hm .","('karpetnya', 'ganti atau hilangkan', 'negatif')","('staf', 'hm', 'negatif')","('staf', 'hm', 'negatif')",Subset aspect/sentiment
169,kamar nyaman cuma parkir untuk kendaraan roda 4 yang kurang jadi agak kesulitan untuk parkir .,"('parkir', 'kurang', 'negatif')","('parkir', 'agak kesulitan', 'negatif')","('parkir', 'agak kesulitan', 'negatif')",Different Sentiment Term
170,bersih rapi ramah .,-,"('bersih', 'rapi', 'positif')","('bersih', 'rapi', 'positif')",No Label Matched
170,bersih rapi ramah .,-,"('pelayanan', 'ramah', 'positif')","('ramah', 'ramah', 'positif')",No Label Matched
175,pelayanan baik . desain kamar agak unik .,"('desain kamar', 'agak unik', 'positif')","('desain kamar', 'agak unik', 'negatif')","('desain kamar', 'agak unik', 'negatif')",Different Polarity
185,"kamar bersih , staf ramah , internet kencang , . lokasi trategis . puas menginap disini .","('menginap disini', 'puas', 'positif')",-,-,Not Generated
188,waktu di kamar mandi menemukan darah menempel di selang penyiram wc nya .,"('kamar mandi', 'menemukan darah', 'negatif')","('selang penyiram wc nya', 'ada darah', 'negatif')","('selang penyiram wc nya', 'di darah', 'negatif')",Subset aspect/sentiment
189,"lokasi memang strategis walaupun memang agak terganggu karena tepat di depan hotel sedang ada pembangunan . namun resepsionis laki laki yang rambutnya di cat sedikit warna putih , tidak ada senyum sama sekali , cenderung kaku seperti robot .","('resepsionis', 'kaku', 'negatif')","('resepsionis', 'cenderung kaku', 'negatif')","('resepsionis', 'cenderung kaku', 'negatif')",Different Sentiment Term
189,"lokasi memang strategis walaupun memang agak terganggu karena tepat di depan hotel sedang ada pembangunan . namun resepsionis laki laki yang rambutnya di cat sedikit warna putih , tidak ada senyum sama sekali , cenderung kaku seperti robot .",-,"('resepsionis', 'tidak ada senyum', 'negatif')","('resepsionis', 'tidak ada senyum', 'negatif')",No Label Matched
190,"terima kasih atas fasilitasnya . kamar mandi ( air panas ) oke . tempat tidur oke . lemari oke . ac oke snack oke . tempat strategis , dekat swalayan dan tempat makan . parkir motor ada , tetapi sempit . wifi lumayan . tv sinyal sering kabur . alat sholat kurang lengkap , hanya tersedia sajadah . pintu gerbang komplek buka jam 05:00 s/d 23:00 wib .","('air panas', 'oke', 'positif')","('wifi', 'lumayan', 'positif')","('wifi', 'lumayan', 'positif')",Subset aspect/sentiment
190,"terima kasih atas fasilitasnya . kamar mandi ( air panas ) oke . tempat tidur oke . lemari oke . ac oke snack oke . tempat strategis , dekat swalayan dan tempat makan . parkir motor ada , tetapi sempit . wifi lumayan . tv sinyal sering kabur . alat sholat kurang lengkap , hanya tersedia sajadah . pintu gerbang komplek buka jam 05:00 s/d 23:00 wib .","('kamar mandi', 'oke', 'positif')",-,-,Not Generated
190,"terima kasih atas fasilitasnya . kamar mandi ( air panas ) oke . tempat tidur oke . lemari oke . ac oke snack oke . tempat strategis , dekat swalayan dan tempat makan . parkir motor ada , tetapi sempit . wifi lumayan . tv sinyal sering kabur . alat sholat kurang lengkap , hanya tersedia sajadah . pintu gerbang komplek buka jam 05:00 s/d 23:00 wib .","('parkir motor', 'ada', 'positif')",-,-,Not Generated
190,"terima kasih atas fasilitasnya . kamar mandi ( air panas ) oke . tempat tidur oke . lemari oke . ac oke snack oke . tempat strategis , dekat swalayan dan tempat makan . parkir motor ada , tetapi sempit . wifi lumayan . tv sinyal sering kabur . alat sholat kurang lengkap , hanya tersedia sajadah . pintu gerbang komplek buka jam 05:00 s/d 23:00 wib .","('parkir motor', 'sempit', 'negatif')","('alat sholat', 'sempit', 'negatif')","('alat sholat', 'sempit', 'negatif')",Different Aspect Term
190,"terima kasih atas fasilitasnya . kamar mandi ( air panas ) oke . tempat tidur oke . lemari oke . ac oke snack oke . tempat strategis , dekat swalayan dan tempat makan . parkir motor ada , tetapi sempit . wifi lumayan . tv sinyal sering kabur . alat sholat kurang lengkap , hanya tersedia sajadah . pintu gerbang komplek buka jam 05:00 s/d 23:00 wib .","('swalayan', 'dekat', 'positif')","('alat sholat', 'kurang lengkap', 'negatif')","('alat sholat', 'kurang lengkap', 'negatif')",No Label Matched
