kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil . | (ac, tidak berfungsi optimal, negative); (wifi koneksi, kurang stabil, negative)
lokasi strategis harga terjangkau bangunan lama memang , tetapi dengan harga yang terjangkau dan lokasi tengah kota sangat worthy dan sudah 3x ini menginap di sini wifi kencang dapat sarapan pula , menu homey tetapi tasty keamanan 24jam ramahramah overall bagus . | (lokasi, strategis, positive); (harga, terjangkau, positive); (harga, terjangkau, positive); (wifi, kencang, positive); (sarapan, dapat, positive); (menu, homey, neutral); (menu, tasty, positive); (overall, bagus, positive)
kebersihan selimut , sarung bantal , handuk kurang kamar kurang wangi wifi tidak bisa . | (kebersihan selimut, kurang, negative); (sarung bantal, kurang, negative); (handuk, kurang, negative); (kamar, kurang wangi, negative); (wifi, tidak bisa, negative)
nyaman banget kamarnya . bersiih . dan buat betah . next klau kesana bisa jadi rekomendasi buat tempat tinggal sementara . | (kamarnya, nyaman banget, positive); (kamarnya, bersiih, positive)
tempat tdr kurang bersih . | (tempat tdr, kurang bersih, negative)
tulisannya twin bed , tetapi yang ada kamarnya beda . | (kamarnya, beda, negative)
tempat nya nyaman dan harga nya pun terjangkau , cocok sekali untuk liburan keluarga . | (tempat nya, nyaman, positive); (harga nya, terjangkau, positive)
kamar oke . ac kurang dingin . lampu kamar mandi ada yang mati . | (kamar, oke, neutral); (ac, kurang dingin, negative); (lampu kamar mandi, mati, negative)
kamar luas dan kedap , bersih makanan enak . dan lokasi strategis . | (kamar, luas, positive); (kamar, kedap, positive); (kamar, bersih, positive); (makanan, enak, positive); (lokasi, strategis, positive)
semuanya sudah baik tetapi didalam kamar tidak ada tempat untuk menggantungkan baju atau celana . | (semuanya, baik, positive)
hanya wifi yang kurang memuaskan , wifi tidak bisa dipakai , selebihnya tidak masalah . | (wifi, kurang memuaskan, negative); (wifi, tidak bisa dipakai, negative); (selebihnya, tidak masalah, neutral)
breakfastnya bervariasi dan sehat . thank you for servicing . | (breakfastnya, bervariasi, positive); (breakfastnya, sehat, positive)
kamar bersih , kasur bersih ( aku paling cepat bereaksi kalau ada tungau walau cma sedikit ) , 24 jam petugasnya siap sedia buat bantuin . top deh ! | (kamar, bersih, positive); (kasur, bersih, positive)
bersih , rapi , tetapi properti nya kurang diperlengkapi , kurang nyaman juga karena banyak kebisingan , apalagi dari ruangan aula nya karena ada acara . | (properti nya, kurang diperlengkapi, negative); (properti nya, kurang nyaman, negative)
terlalu sempit kamarnya , tetapi lumayanlah dengan budget yang segitu , pelayanan hotel juga lumayan bagus dan ramah , airy memang joss . | (kamarnya, terlalu sempit, negative); (kamarnya, lumayanlah, neutral); (pelayanan hotel, lumayan bagus, positive); (pelayanan hotel, ramah, positive)
tidak mengecewakan . kamarnya mungil , bersih , wangi , ac dan hot water berfungsi baik , pelayanan baik , parkir tersedia dan aman , lokasi dekat dengan banyak tempat makan dan hiburan . | (kamarnya, tidak mengecewakan, neutral); (kamarnya, mungil, neutral); (kamarnya, bersih, positive); (kamarnya, wangi, positive); (ac, berfungsi baik, positive); (hot water, berfungsi baik, positive); (pelayanan, baik, positive); (parkir, tersedia, positive); (parkir, aman, positive)
begitu masuk pertama , kesan yang diterima adalah jorok . mohon maaf , ada kotoran ( eek ) masih melekat di bibir kloset . seperti tidak dibersihkan . kemudian semakin malam , banyak kecoak bermunculan , awalnya saya baca review dari app tetangga yang bilang banyak kecoak , saya tidak percaya . tetapi begitu mengalami sendiri , sangat horor , tidur jadi tidak nyenyak . | (bibir kloset, ada kotoran, negative)
saya salah dikasih kamar , tidak ada handuk , gayung , airy pack , kasur tidak pakai seprai , lemari juga kotor . | (handuk, tidak ada, negative); (gayung, tidak ada, negative); (airy pack, tidak ada, negative); (lemari, kotor, negative)
bersih . tetapi sulit ditemukan . | 
lampu kamar tidak menyala . yang lain oke laah . topp . | (lampu kamar, tidak menyala, negative); (yang lain, oke, positive)
kesigapan pegawai dan minimalkan kebisingan baik dari pegawai atau tamu lain . biar tidak menganggu istirahat tamu lain . | 
nyaman . | 
bagus bersih nyaman , cuma tempat terlalu kedalam . | (tempat, terlalu kedalam, negative)
mantap , lokasi strategis , ke tanah abang bisa jalan kaki . cuma karena tempat tidur diatas agak ngerih , bunyibunyi takut jatuh hai . | (lokasi, strategis, positive); (tempat tidur, agak ngerih, negative); (tempat tidur, bunyibunyi, negative)
air bersih untuk mck tidak ada . | (air bersih, tidak ada, negative)
sarapan cuma roti bakar sama roti saja pilihannya . | 
hotelnya bagus , pelayanan oke , dekat dengan fasilitas umum . terimakasih . | (hotelnya, bagus, positive); (pelayanan, oke, positive)
over all enak menginap disini , lokasinya strategis jadi kalau mau berasa turis bisa jalan kaki kemana mana . dan yang lebih berasa turisnya ketika malam mau ke lagi jalan kaki dan sekeliling lagi ada proyek pembangunan begitu tertawa . oiya ac nya sempat netes juga sih tetapi tidak apaapa lah bisa diatasi . | (over all, enak, positive); (lokasinya, strategis, positive)
lumayan bersih tetapi lantainya tidak rata karena kurang semen di bawah nya , jadi menyebabkan pecah " . | (lantainya, tidak rata, negative)
bersih . ramah . strategis . | 
2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau . | (kamar mandi, tetap bau, negative)
tidak sesuai dengan di foto . | 
pelayanan si masnya sangat ramah , saya sudah berlangganan di airy eco deplu hampir setengah tahun . kamarnya rapi , fasilitas lengkap , dan its cheap ! | (pelayanan, sangat ramah, positive); (kamarnya, rapi, positive); (fasilitas, lengkap, positive)
hotel yang berbasis syariah , sangat baik untuk business traveler karena berada di tengah kota dengan rate yang wajar , wifi yang disediakan tidak hanya sebagai syarat ada wifi saja namun kecepatan yang diberikan sangat baik . | (wifi, sangat baik, positive)
kamar bersih , nyaman sekali , csnya ramah mantaplah , dan daerahnya tenang . | (kamar, bersih, positive); (kamar, nyaman sekali, positive); (csnya, ramah mantaplah, positive)
ternyata ada makanan ringan gratis . | (makanan ringan gratis, ada, positive)
nyaman . dapat snack , hanya saja dikasih lantai 3 . | (snack, dapat, positive)
memuaskan dan dekat dengan bandara . | 
resepsionis tidak ada etika , tidak sopan suka marah , kamar berisik tiap siang dan malam tidak bisa istirahat . | (resepsionis, tidak ada etika, negative); (resepsionis, tidak sopan, negative); (resepsionis, suka marah, negative); (kamar, berisik, negative)
lampu remang - remang , kamar mandi kotor , menginap 10 hari tetapi hanya diberikan peralatan mandi sekali saja saat pertama masuk . | (lampu, remang - remang, negative); (kamar mandi, kotor, negative)
sudah capek dari bandung pingin istirahat . sudah dapat kamar , eh ac rusak bahkan dapat kipas angin . walau dapat pot 50000 . trakhr bangun tdr masuk angin . tempatnya bagus tetapi begitu kalau soal pelayanan harus di tingkatkan lagi dan kurang ramah . | (ac, rusak, negative); (tempatnya, bagus, positive); (pelayanan, harus di tingkatkan lagi, negative); (pelayanan, kurang ramah, negative)
kamar kecil dan kurang nyaman . | (kamar, kecil, negative); (kamar, kurang nyaman, negative)
tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur . | (lampu tidur, tidak terdapat, negative)
kamar airy terburuk yang pernah saya singgahi , kamar bau , tidak wifi , sinyal tidak bisa masuk kamar , toilet buruk , pulangpulang dikira ambil bantal airy padahal memang tidak ada bantal airy tidak recomended , nyesal menginap disini . | (kamar, terburuk, negative); (kamar, bau, negative); (wifi, tidak bisa masuk, negative); (toilet, buruk, negative)
baik : keramahan pelayanan , desain bangunan yang nyaman lemah : kebersihan kamar . lantai terasa lengket . ac lambat mencapai suhu yang diinginkan . | (keramahan pelayanan, baik, positive); (desain bangunan, baik, positive); (desain bangunan, nyaman, positive); (kebersihan kamar, lemah, negative); (lantai, lemah, negative); (lantai, lengket, negative); (ac, lambat, negative)
mankjubkan penginapannya sangat nyaman dan tenang . namun saya ingin lebih terang lampu dan sejuk udara lorong kamar . | (penginapannya, sangat nyaman, positive); (penginapannya, tenang, positive)
tidak ada sarapan . | (sarapan, tidak ada, negative)
banyak para pengunjung yang berpenampilan kurang sopan . anakanak pada takut . | (pengunjung, berpenampilan kurang sopan, negative)
saya booking 2kmr hari sabtu , air mati sehingga tidak bisa mandi maupun untuk urusan kamar kecil . kamar mandi sangat kotor . ranjang baik , kebersihan kamar lumayan . prncahayaan ruangan kirang lampu . | (air, mati, negative); (kamar mandi, sangat kotor, negative); (ranjang, baik, positive); (kebersihan kamar, lumayan, neutral); (prncahayaan ruangan, kirang lampu, negative)
tempat yag bagus dan nyaman untuk istirahat tetapi tolong tvnya perlu di perbaiki channelnya karena banyak semutnya digambar dan water heaternya tidak bisa jadi mandi air dingin terus . | (tempat, bagus, positive); (tempat, nyaman, positive); (tvnya, perlu di perbaiki, positive); (water heaternya, tidak bisa, negative)
lokasi sangat dekat dengan jembatan amperantapi sayangnya sedikit masuk ke dalam lorong , tetapi recommended buat yang backpacker an . | 
saya sudah 2x menginap . thank you for your pelayanan . | 
pelayanan bagus , fasilitas memadai , harga bersahabat . | (pelayanan, bagus, positive); (fasilitas, memadai, positive); (harga, bersahabat, positive)
wifi buruk suka down . | (wifi, buruk, negative)
over all baik , hanya sja akan lebih memuaskan jika air hot waternya bisa nyala 24jam . kmrin hanya wakt . | (over all, baik, positive)
pngen kembali lagi buat menginap . | 
cukup bagus . cuma banyak nyamuk beterbangan . | 
tidak sesuai dengan gambar dan tampilan di foto , semua fasilitas sudah tua , wc kotor . | (fasilitas, tua, negative); (wc, kotor, negative)
pelayanan ramah , kamar cukup bersih , tempat sangat strategic , dekat dengan semua tempat wisata kota . | (pelayanan, ramah, positive); (kamar, cukup bersih, positive); (tempat, sangat strategic, positive)
harga ditraveloka jauh lebih mahal dari harga hotel langsung . di traveloka lebih rp . 900.000 sedangkan . | 
tempat nyaman bersih tetapi tv terlalu tinggi tidak bisa di lihat . | (tempat, nyaman, positive); (tempat, bersih, positive); (tv, terlalu tinggi, negative)
saya dan kelg senang menginap , tetapi sayangnya tidak bisa memilih kamar karena kami orang tua sudah pada umur dan tidak bisa bersebelahan kamarnya , tempatnya tidak susah mencarinya , yang ptg enak deh , semoga saya dan kelg bisa pesan lagi . | (tempatnya, tidak susah mencarinya, positive); (tempatnya, enak, positive)
overall kamar yang ini lebih oke dari kemarin . hanya wastafel nya tersumbat . dan pagi nya , air panas nya kurang panas . | (overall, lebih oke, positive); (wastafel nya, tersumbat, negative); (air panas nya, kurang panas, negative)
( grand deluxe lt.dasar ) kamar luas , toilet luas ( walau aroma kurang enak kalau pertama dibuka ) , air . | (kamar, luas, positive); (toilet, luas, positive); (aroma, kurang enak, positive)
bagus . pelayanan juga oke . tidak sia siamenginap disini . | (pelayanan, bagus, positive); (pelayanan, oke, positive)
fasilatas sesuia . | (fasilatas, sesuia, positive)
lumayan , yang kurang cuma chanel tv , snack , sama alat mandi nya saja . selebihnya bagus . | (chanel tv, kurang, negative); (snack, kurang, negative); (alat mandi nya, kurang, negative); (selebihnya, bagus, positive)
desainnya suka bali banget , makanan murah tetapi lumayan lama sampainya , dan wc nya agak seram sih dan kotor juga wc nya pasir di mana - mana . posisi nyaman sih tetapi hotelnya buat santaisantai di kursi depan . | (desainnya, suka, positive); (makanan, murah, positive); (makanan, lumayan lama sampainya, negative); (wc nya, agak seram, negative); (wc nya, kotor, negative); (posisi, nyaman, positive)
hotelnya baru . nyaman banget . pokoknya airy recommended banget . the best one . | (hotelnya, nyaman banget, positive); (airy, recommended banget, positive)
baik . penjaga ramah . strategis ke mana mana . | (penjaga, ramah, positive)
bersih , nyaman , kamar luas , ada snack , toiletries juga oke . | (kamar, luas, positive); (snack, ada, positive); (toiletries, oke, positive)
pelayanan ramah dan cepat . kondisi kamar nyaman . responsif dan mudah . | (pelayanan, ramah, positive); (pelayanan, cepat, positive); (kamar, nyaman, positive)
oke saja , tetapi ac nya berisik banget sudah . | (ac nya, berisik banget, negative)
tolong di perhatikan lagi kelengkapan kamarnya . | (kelengkapan kamarnya, tolong di perhatikan lagi, negative)
mksh iya atas pelayanan nya mas azis sama mas irfan alhamdullilah q bsistirahat setiap saat . | 
suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp . | (suasananya, kurang nyaman, negative)
kamar sangat kotor kamar mandi kotor berdebu banyak banget baru 10 menit di kamar langsung pindah hotel . | (kamar, sangat kotor, negative); (kamar mandi, kotor berdebu, negative)
room bagus . fasilitas oke . cuma kemarin tidak dapat alat mandi . tidak tahu lupa atau memang tidak ada fasilitas nya . tetapi okelah terimakasih airy rooms . | (room, bagus, positive); (fasilitas, oke, positive); (alat mandi, tidak dapat, negative)
kamar kotor bau , ada bekas handuk orng ( kamar gavdi bersihkan ) , banyak kecoak dan nyamuk , ranjang kotor , pesan yang 1 ranjang besar di kasih yang twin bed , kamar mandi jorok ada bekas darah orang , susah sinyal , harus ke cafe baru dpet wifi , sry saya jujurjujur saja bukan di buatbuat , terimakasih . | (kamar, kotor, negative); (kamar, bau, negative); (ranjang, kotor, negative); (kamar mandi, jorok, negative); (wifi, susah sinyal, negative)
suka sekali . hotel tempat kami menginap pelayanan ramah , sangat tanggap . hotelnya luar biasa memuaskan . bersih bagus dan sungguh nyaman . pasti akan kembali menginap kalau kelombok lagi . pastinya dengan airy liburan kemana saja selalu memuaskan . terimakasih airy . | (hotel tempat, suka sekali, positive); (pelayanan, ramah, positive); (hotelnya, luar biasa memuaskan, positive); (hotelnya, bersih, positive); (hotelnya, bagus, positive); (hotelnya, sungguh nyaman, positive)
tidak ada air hangat . | (air hangat, tidak ada, negative)
tempat sangat bersih dan nyaman . | (tempat, sangat bersih, positive); (tempat, nyaman, positive)
tv nya saja yang tidak bagus karena siaran tvnya tidak jelas . | (tv nya, tidak bagus, negative); (siaran tvnya, tidak jelas, negative)
ac dingin . air panas oke . tv bruwet . | (ac, dingin, positive); (air panas, oke, positive); (tv, bruwet, negative)
kamar tidak sesuai dengan kamar . tidak ada bantal guling airy dan peralatan mandi airy room . | (kamar, tidak sesuai, negative); (bantal guling airy, tidak ada, negative); (peralatan mandi airy room, tidak ada, negative)
tidak seperti yang diiklankan . mana biru dan peralatan yang baru . jauh dari kesan iklan . tetapi karena hanya beberapa jam tidur iya jalani saja . | (kesan iklan, jauh dari, negative)
pelayanan yang sangat baik dan sangat ramah . next time kalau ke bali pasti pilihannya kesini . cocok untuk . | (pelayanan, sangat baik, positive); (pelayanan, sangat ramah, positive)
dekat akses transportasi . | (akses transportasi, dekat, positive)
kecil tetapi nyaman . pelayanan cukup oke . | (pelayanan, cukup oke, positive)
wifi tidak ada dan pintu kamar mandi tidak bisa terkunci . | (wifi, tidak ada, negative); (pintu kamar mandi, tidak bisa terkunci, negative)
kamar bagus seasui bajet . | (kamar, bagus, positive)
kamar terlalu luas , sayang cuma bisa untuk 2 orang jadi lebih kelihatan mubazir . + kamar bersih , bed bersih , toilet bersih . fasilitas oke lah . harga murah banget , pakai kupon diskon . - wifi tidak bisa terhubung . sarapan kurang sesuai ( sambal lontong terlalu pedas ) . keep goin ' airy ! | (kamar, terlalu luas, neutral); (kamar, bersih, positive); (bed, bersih, positive); (toilet, bersih, positive); (fasilitas, oke, positive); (harga, murah banget, positive); (wifi, tidak bisa terhubung, negative); (sarapan, kurang sesuai, negative)
air kamar mandi kotor , ac tidak dingin , seprai kotor , kamar berbau . | (air kamar mandi, kotor, negative); (ac, tidak dingin, negative); (seprai, kotor, negative); (kamar, berbau, negative)
kamarnya agak gelap , depositnya terlalu tinggi . | (kamarnya, agak gelap, negative); (depositnya, terlalu tinggi, negative)
pelayanannya ramah , sudah langganan untuk menghinap dan beristirahat di sini . | (pelayanannya, ramah, positive)
airy mataram cakranegara nakula 14 untuk bangunannya sangat baik , resepsionis ramah , housekeeping sangat cekatan , kamar bersih dan besar , kamar mandi juga bersih , saran sebaiknya disediakan termos air panas untuk disetiap room dan untuk sarapannya sebaiknya . | (bangunannya, sangat baik, positive); (resepsionis, ramah, positive); (housekeeping, sangat cekatan, positive); (kamar, bersih, positive); (kamar, besar, positive); (kamar mandi, bersih, positive)
bagus wih , lokasi oke banget dekat kemanakemana , tetapi tidak terlalu berisik . kamar luas tetapi ac tidak dingin . | (lokasi, oke banget, positive); (lokasi, tidak terlalu berisik, neutral); (kamar, luas, positive); (ac, tidak dingin, negative)
tempatnya bersih dan terjangkau . | (tempatnya, bersih, positive); (tempatnya, terjangkau, positive)
pertama datang saya dikasih kamar yang buat berdua padahal saya memesan kamar yang untuk berempat dan tidak ada desain nya airyroom di kamar dan tidak dapat snack kalau tidak di keluhan pokok nya kecewa menginap disini . | 
tidak sesuai yang ada di gambar . | 
pelayanannya bagus tetapi kebersihan kamar nya kurang terutama bagian kamar mandi . | (pelayanannya, bagus, positive); (kebersihan kamar nya, kurang, negative)
tempatnya nyaman dan tenang . | (tempatnya, nyaman, positive); (tempatnya, tenang, positive)
pelayanan kamar perlu di tingkatkan . | (pelayanan kamar, perlu di tingkatkan, negative)
pintu kamar mandi tidak bisa dikunci . acnya gadingin . ada kecoaknya . | (pintu kamar mandi, tidak bisa dikunci, negative); (acnya, gadingin, negative)
nasi gorengnya enak . mungkin saya lapar . | (nasi gorengnya, enak, positive)
nyaman , bersih , tv saja yang kurang bagus tidak ada yang bisa ditonton dengan jelas . ac dingin . | (tv, kurang bagus, negative); (ac, dingin, positive)
kamarnya keren , rapi , bersih , mantap lah . | (kamarnya, keren, positive); (kamarnya, rapi, positive); (kamarnya, bersih, positive); (kamarnya, mantap, positive)
bersih , rapi , suasana tenang dan nyaman . | (suasana, tenang, positive); (suasana, nyaman, positive)
sangat rekomended sekali tempat penginapan nya . | (tempat penginapan nya, sangat rekomended sekali, positive)
resepsionisnya ramah , kamarnya bersih dan nyaman . | (resepsionisnya, ramah, positive); (kamarnya, bersih, positive); (kamarnya, nyaman, positive)
tempat bersih dan nyaman . | (tempat, bersih, positive); (tempat, nyaman, positive)
tempatnya nyaman , kamarnya bersih . | (tempatnya, nyaman, positive); (kamarnya, bersih, positive)
air panas sering tidak mengalir . | (air panas, sering tidak mengalir, negative)
ac kurang dingin , handuk kecil dan minuman sama cemilan tidak diperbarui . | (ac, kurang dingin, negative); (handuk, kecil, negative); (minuman, tidak diperbarui, negative); (cemilan, tidak diperbarui, negative)
pelayanan ramah . tetapi harga terlalu mahal untuk fasilitas seperti itu . | (pelayanan, ramah, positive); (harga, terlalu mahal, negative)
ac kurang dingin . | (ac, kurang dingin, negative)
bangunan yang baru jadi pasti trasa nyaman . fasilitas juga ada pool yang cukup besar dan bersih . tetapi sayang lokasinya yang sedikit ke dalam , kalau cari makanan di malam hari agak susah . jadi harus pakai aplikasi atau pesan ke pihak pengelola hotelnya . | (pool, cukup besar, positive); (pool, bersih, positive)
kamar standar dan kecil , parkir mobil juga agak susah . | (kamar, standar, neutral); (kamar, kecil, negative); (parkir mobil, agak susah, negative)
kamar mandi terlalu kecil . pintu kamar mandi tidak dapat di kunci dengan baik . ada wastafel di dekat tv , penampakannya jadi kurang nyaman . | (kamar mandi, terlalu kecil, negative); (pintu kamar mandi, tidak dapat di kunci dengan baik, negative); (penampakannya, kurang nyaman, negative)
saya dari jam 9 pagi sudah di usir untuk chekout . dengan alasan ada tamu lagi . | 
paling cozy airy rooms disini . | (airy rooms, paling cozy, positive)
kamarnya tidak bersih , seprainya juga seperti tidak meyakinkan begitu , not recomended . | (kamarnya, tidak bersih, negative); (seprainya, tidak meyakinkan begitu, negative)
kamarnya butuh perbaikan . dinding kamar dan pintupintu . | (kamarnya, butuh perbaikan, negative)
harga murah ! pelayan baik dan ramah . lokasi masuk gang ( perkampungan warga ) tetapi bisa dicari di google map . kamar bersih , rapi dan cukup luas . fasilitas : tv mantap , ac kurang dingin ( 16 ) , snack dan air , perlengkapan mandi ( sabun odol sikat ) , handuk ada 2 tetapi kecil , air lancar tetapi agak bau . mungkin karena air sumur bor dan lokasi dekat dengan sungai . | (harga, murah, positive); (pelayan, baik, positive); (pelayan, ramah, positive); (kamar, bersih, positive); (kamar, rapi, positive); (kamar, cukup luas, positive); (tv, mantap, positive); (ac, kurang dingin, negative); (handuk, kecil, negative); (air, lancar, positive); (air, agak bau, negative)
kamar terasa sempit , lokasi yang kurang strategis ( masuk lewat ramah yang sudah tetup ) , ac tidak dingin , aura ruangan tidak enak ( bayi menangis melulu kalau tidur ) walau pelayanan atau orang yang menunggu disana ramah . | (kamar, sempit, negative); (lokasi, kurang strategis, negative); (ac, tidak dingin, negative); (aura ruangan, tidak enak, negative); (pelayanan, ramah, positive)
ac kurang dingin , overall oke . | (ac, kurang dingin, negative); (overall, oke, positive)
semuanya baik dan nyaman pelayanannya , lokasinya strategis pinggir jalan , cuma satu kalau bisa tolong sediakan tempat sampah di dalam kamar , next time balik lagi menginap di airy . | (semuanya, baik, positive); (pelayanannya, nyaman, positive); (lokasinya, strategis, positive)
tidak ada masalah selama menginap di tempat ini . | 
tempat bersih , harga sesuai , sangat cocok untuk para traveler bacpacker , tempat nyaman , tenang . | (tempat, bersih, positive); (harga, sesuai, positive); (tempat, nyaman, positive); (tempat, tenang, positive)
pelayanan kurang ramah . tidak ada air untuk mandi . | (pelayanan, kurang ramah, negative); (air, tidak ada, negative)
pelayanannya baik dan ramah , dan masih banyak lagi nilai plusnya . dijamin tidak nyesal deh . | (pelayanannya, baik, positive); (pelayanannya, ramah, positive)
dengan tarif yang relatif murah , tetapi semua oke . | (tarif, murah, positive); (semua, oke, positive)
baik , staf ramah . | (staf, ramah, positive)
kamarnya horor , kurang bersih . | (kamarnya, horor, negative); (kamarnya, kurang bersih, negative)
sebenarnya sudah terlihat bersih , tetapi mengapa banyak semut di meja dan di tempat tidur , membuat tidak nyaman sekali . | (meja, banyak semut, negative); (tempat tidur, banyak semut, negative)
tempat nyaman untuk beristirahat , namun perlengkapan mandi yang ada tidak lengkap , hanya ada sabun dan sampo . | (tempat, nyaman, positive); (perlengkapan mandi, tidak lengkap, negative)
tidak ada sabun cuci piring , air di kamar mandi mengucur kecil , . | (sabun cuci piring, tidak ada, negative); (air, mengucur kecil, negative)
dapat beristrhat dengan nyaman di hotel ini . | 
lokasi strategis banget , para stafnya ramahramah . kamar bersih dan wangi pokoknya oke , 4 jempol : ) tidak nyesal deh menginap disini . terimakasih airy dan terimakasih juga buat londres bed dan breakfast : ) . | (lokasi, strategis banget, positive); (stafnya, ramahramah, positive); (kamar, bersih, positive); (kamar, wangi, positive)
ada harga ada rupa . mantapp sangat apalagi banyak promo nya . | 
staf ramah dan kamar bersih recommended . | (staf, ramah, positive); (kamar, bersih, positive)
hotel dan kamar bersih . | (hotel, bersih, positive); (kamar, bersih, positive)
bagus . cuma kasurnya agak berisik . | (kasurnya, agak berisik, negative)
kamar bersih , rapi , semuanya bagus tetapi hanya 1 yang kurang yaitu kamar kurang kedap suara , suara dari luar maupun dari dalam keluar terdengar jelas . | (kamar, bersih, positive); (kamar, rapi, positive); (semuanya, bagus, positive); (kamar, kurang kedap suara, negative)
kamar nyaman , suasana tenang . | (kamar, nyaman, positive); (suasana, tenang, positive)
pelayanan baik , tengah kota . | (pelayanan, baik, positive)
kurang ramah . | 
kamernya sempit kwmar mandinya kotor . | (kamernya, sempit, negative); (kwmar mandinya, kotor, negative)
air panas bullshit . | (air panas, bullshit, negative)
pelayanannya ramah . | (pelayanannya, ramah, positive)
nyaman , tetapi kamar agak sempit dan bernyamuk . | (kamar, agak sempit, negative); (kamar, bernyamuk, negative)
tempat parkir mobil yang terbatas . | (tempat parkir mobil, terbatas, negative)
sudah 2x ini inap di airy tetapi tidak pernah dapat bingkisan kotak biru dari airy ( complimentery ) padahal baca review temanteman sering pada dapat . waktu bertanya dari pihak hotel katanya dari airy tidak pernah kirim lagi , ty ke customer pelayanan airy di jawab airy tidak ada gitugituan , dan percakapan langsung di hentikan oleh customer pelayanan ats nama koko . | 
kamar hotel bersih , nyaman dan suasananya tenang banget . staf hotelnya pun sangat ramah dan baik . | (kamar hotel, bersih, positive); (kamar hotel, nyaman, positive); (suasananya, tenang banget, positive); (staf hotelnya, sangat ramah, positive); (staf hotelnya, baik, positive)
kamarnya nyaman , bersih , pelayanannya ramah . recomended . | (kamarnya, nyaman, positive); (kamarnya, bersih, positive); (pelayanannya, ramah, positive); (pelayanannya, recomended, positive)
ada kecoak di kamar mandi , ac kurang dingin , air panas malam hari tidak nyala . | (kamar mandi, ada kecoak, negative); (ac, kurang dingin, negative); (air panas, tidak nyala, negative)
kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . | (kasurnya, buat sakit, negative)
not bad . tetapi ada kecoak di lemarinya . : ) . | 
karpet sudah tidak layak . tetapi kamar lumayan nyaman . | (karpet, tidak layak, negative); (kamar, lumayan nyaman, positive)
bagus . hanya saja tidak ada lift untuk ke lantai 3 . he . | (lift, tidak ada, negative)
