1 | oke banget , tetapi ac nya tidak bisa diatur suhu nya . | (ac nya, tidak bisa diatur, negative)
25 | recomended buat refreshing dan sangat nyaman . | 
26 | good , sangat nyaman . | 
27 | lumayan nyaman cuma fasilitas nya kurang . | (fasilitas nya, kurang, negative)
28 | recommended . untuk harga segitu , lumayan lah . | 
29 | sangat puas dan menyenangkan . terima kasih ! | 
30 | lumayan dan bersih , cuma handle pintu kamar mandinya tidak ada . | (handle pintu kamar mandinya, tidak ada, negative)
31 | sudah cukup baik . | 
32 | saya sangat sering menggunakan airy room , sehingga sudah tahu apa saja fasilitas yang biasanya ada . cemilan yang ada juga hanya setengah dari pada biasanya . | (cemilan, hanya setengah, negative)
33 | lumayan , keseluruhan nyaman sayangnya , ada beberapa hal yang harus diperhatikan , kurangnya kebersihan pada kamar , ada bekas rexona di bawah kasur dari tamu awal , tetapi selebihnya luar biasa . nyaman , wifi cepat . pelayanan yang baik . terimakasih . rekomended buat backpacker yang bingung cari tempat untuk menginap , terimakasih airy . anda memang kece . | (keseluruhan, nyaman, positive); (kebersihan, kurangnya, negative); (selebihnya, luar biasa, positive); (selebihnya, nyaman, positive); (wifi, cepat, positive); (pelayanan, baik, positive)
34 | lumayan . harga murmer . fasilitas standar hotel . untuk makanan agak kurang sih tetapi overall good . | (harga, murmer, positive); (fasilitas, standar, neutral); (makanan, agak kurang, negative); (overall, good, positive)
35 | cukup bersih meski tanpa sarapan . wifi dan tv perlu pembenahan karena tidak jalan . | (sarapan, tanpa, negative); (wifi, perlu pembenahan, negative); (wifi, tidak jalan, negative); (tv, perlu pembenahan, negative); (tv, tidak jalan, negative)
36 | lumayan , sayang kamar agak redup lampunya . | (lampunya, agak redup, negative)
37 | kamar bau dari selokan kamar mandi , banyak nyamuknya , pagi air untuk mandi sangat kecil jadi harus menunggu agak siang untuk mandi . | (kamar, bau, negative); (kamar, banyak nyamuknya, negative); (air, sangat kecil, negative)
38 | cukup hanya lift nya di perbaiki . karena sudah kelihatan sudah lama sekali . | (lift nya, di perbaiki, positive)
39 | sangat di rekomendasikan untuk berlibur ke bali dengan modal sedikit . | 
40 | aku puas banget dengan hotel pakai airy di bangka . aku pikir jenis dan standar hotelnya mirip seperti begitu . ternyata beda banget dengan hotel ini . 1 . hotel ini tiga tingkat tetapi tidak ada lift 2 . tidak ada petugas buat angkat koper 3 . tidak ada restorant . intinya tmp ini tidak pantes di sebut sebagai hotel . lebih pantas kalau disebut " kos kosan harian " . | (lift, tidak ada, negative); (petugas, tidak ada, negative); (restorant, tidak ada, negative)
41 | lumayan . sayang ada 1 hari yang kamar tidak di bersihkan dan tidak dapat minuman , dikarenakan tidak adanya pegawai . | (kamar, tidak di bersihkan, negative); (minuman, tidak dapat, negative); (pegawai, tidak adanya, negative)
42 | recommended banget buat backpacker . | 
43 | tenang banget . iya lumayan lah . | 
44 | tenang banget . iya lumayan lah . | 
45 | lumayan . cuma bantal nya kalau bisa di jemur atau di cuci . niar tidak bau keringat . terimakasih . | (bantal, bau keringat, negative)
46 | dalam informasi katanya ada air panasnya , ternyata tidak ada , airnya tetap dingin sudah dialirkan sampai 1 jam . | (air panasnya, tidak ada, negative)
47 | sangat nyaman : ) . | 
48 | murah , bersih , dan cukup nyaman . tetapi toiletnya masih harus diperbaiki . | (toiletnya, harus diperbaiki, positive)
49 | sangat puas . | 
50 | sungguh sangat memberikan keutamaan bagi tamu nya tingkatkan terus sop nya dan saya sangat puas menginap di sini . | 
51 | you get what you paid . harga total untuk 3 kamar 1 malam cuma 324000 ( pakai promo airy ) dan di daerah kemang ! lokasi oke , dekat kemang . kamar lumayan besar tetapi agak tidak sesuai foto . karena bangunannya rumah , ukuran kamar berbeda - beda . kolam renang oke . tidak ada air panas untuk mandi dan wifi nya tidak jalan ( padahal username dan password sudah benar ) . | (lokasi, oke, positive); (kamar, agak tidak sesuai foto, negative); (kolam renang, oke, positive); (air panas, tidak ada, negative)
52 | untuk lokasi nya agak masuk disebelakang rumah toko , ketika saya sampai dsana jam 12 pintu sudah di tutup dan perlu menelepon operator hotel , untuk kamar kondisinya kurang baik , ruangannya bau seperti habis di pakai , handuk berantakan , sabun mandi seperti habis di pakai , tempat tidur acak acakan dan penuh rambut di atas nya , wc tersumbat tidak berfungsi , ada kaos kaki di laci lemari , dan kamar berdebu . untung ada wifi dan ac sehingga ruangan tidak terlalu sempit . | (kamar, kurang baik, negative); (ruangannya, bau, negative); (handuk, berantakan, negative); (tempat tidur, penuh rambut, negative); (wc, tersumbat, negative); (wc, tidak berfungsi, negative); (kamar, berdebu, negative)
53 | untuk lokasi nya agak masuk disebelakang rumah toko , ketika saya sampai dsana jam 12 pintu sudah di tutup dan perlu menelepon operator hotel , untuk kamar kondisinya kurang baik , ruangannya bau seperti habis di pakai , handuk berantakan , sabun mandi seperti habis di pakai , tempat tidur acak acakan dan penuh rambut di atas nya , wc tersumbat tidak berfungsi , ada kaos kaki di laci lemari , dan kamar berdebu . untung ada wifi dan ac sehingga ruangan tidak terlalu sempit . | (kamar, kurang baik, negative); (ruangannya, bau, negative); (handuk, berantakan, negative); (tempat tidur, penuh rambut, negative); (wc, tersumbat, negative); (wc, tidak berfungsi, negative); (kamar, berdebu, negative)
54 | untuk lokasi nya agak masuk disebelakang rumah toko , ketika saya sampai dsana jam 12 pintu sudah di tutup dan perlu menelepon operator hotel , untuk kamar kondisinya kurang baik , ruangannya bau seperti habis di pakai , handuk berantakan , sabun mandi seperti habis di pakai , tempat tidur acak acakan dan penuh rambut di atas nya , wc tersumbat tidak berfungsi , ada kaos kaki di laci lemari , dan kamar berdebu . untung ada wifi dan ac sehingga ruangan tidak terlalu sempit . | (kamar, kurang baik, negative); (ruangannya, bau, negative); (handuk, berantakan, negative); (tempat tidur, penuh rambut, negative); (wc, tersumbat, negative); (wc, tidak berfungsi, negative); (kamar, berdebu, negative)
55 | lumayan ok . sarapannya kalau bisa ada ayam goreng atau apa begitu walau dalam irisan kecil sja . | 
56 | kamar rapi , sepertinya hotel sudh berumur . agak horor juga iya . | (kamar, rapi, positive)
57 | sangat ramah pelayanannya . dan bersih tempatnya . pokonya nyaman banget deh . | (pelayanannya, sangat ramah, positive); (tempatnya, bersih, positive)
58 | tidak sesuai alamat di traveloka . di map traveloka , foto depan tampak di depan jalan raya . ternyata dia bekerja sama dengan ayu beach in . dan letaknya didalem . tidak bisa buat parkir mobil . akhirnya saya tinggal pergi tanpa saya tempati . kecewa banget . | 
59 | pelayanan sangat memuaskan semua peralatan bersih , fasilitas oke receomended banget pokoknya . | (pelayanan, sangat memuaskan, positive); (peralatan, bersih, positive); (fasilitas, oke, positive)
60 | bagus menyenangkan , anak anak happy banget disini . | 
61 | jika dibenahi dan lebih terawat padahal akan sangat menyenangkan . | 
62 | kamar jauh dari lobi , air sangat kecil , sudah diperbaiki tetapi tetap tidak maksimal . | (air, sangat kecil, negative); (air, tidak maksimal, negative)
63 | kamarnya dicat ulang , kalau perlu didekor ulang biar kelihatan hidup , cerminnya jangan cermin angker dong , tidak bisa ngaca , ac nya dibenarkan dong biar tidak matimati sendiri , tolong seranggaserangga dibasmi juga , tetapi petugas dan staf ramah maksimal ! lokasi hotel dekat pvj banget , lokasi bagus sayang kalau tidak dimaksimalkan , terimakasih . | (petugas, ramah maksimal, positive); (staf, ramah maksimal, positive); (lokasi, bagus, positive)
64 | baru pertama x coba airy rooms . suka banget deh , perlatan mandi lengkap plus bonus snack juga dari airy . | (perlatan mandi, lengkap, positive)
65 | hanya jarak tempuh menuju metro tanah abang lumayan jauh . | 
66 | cukup baik untuk kamar dengan harga 100ribu malam , kamar bersih , ac berfungsi , tv lcd berfungsi , kasur springbed nyaman dan bersih , hanya saja untuk kamar mandi tidak dilengkapi exhaust fan sehingga agak bau , air dari kamar mandi juga mengalir keluar masuk ke kamar . | (kamar, bersih, positive); (ac, berfungsi, positive); (tv, berfungsi, positive); (kasur springbed, nyaman, positive); (kasur springbed, bersih, positive); (kamar mandi, agak bau, negative); (exhaust fan, tidak dilengkapi, negative)
67 | bagus , sesuai dengan ekspektasi dan dekat banget dengan mesjid , rekomen deh . | 
68 | airy banget , kamar bersih , kamar mandi juga bersih , wifi lancar dan lain lain . pokoknya airy banget deh . | (kamar, bersih, positive); (kamar mandi, bersih, positive); (wifi, lancar, positive)
69 | bagus banget untuk penginapan seharga ini . | 
70 | keren banget , puas pokoknya . makasii iya . | 
71 | cukup baik . waktu pertama masuk kamar , kamarnya bau . shower air panas tidak berfungai . padahal sudah panggil petugas . | (kamarnya, bau, negative); (shower air panas, tidak berfungai, negative)
72 | kamarnya bersih , rapi , alat mandi lengkap , dan disediakan makanan ringan di dalam kamar . sarapan roti dan minuman seduh sendiri . sangat direkomendasi buat yang budget minimal . terimakasih . | (kamarnya, bersih, positive); (kamarnya, rapi, positive); (alat mandi, lengkap, positive); (makanan ringan, disediakan, positive)
73 | hotel agak masuk ke gang , tetapi tidak jauh , dan jadi keuntungan tersendiri karena jauh dari kebisingan jalan rs farmawati yang always macet itu . | 
74 | sangat nyaman seperti di rumah , ownernya ramah . mksh iya : ) . | (ownernya, ramah, positive)
75 | semoga tetap dipertahnkn . | 
76 | nyaman banget , ramah dan bersiih . | 
77 | pelayanannya sangat kurang . harusnya bisa check in jam 14.00 bahkan check in jam 16.30 kamarnya masih belum dirapikan . untuk fasilitas kolam renang airnya kurang terawat . pesan 2 kamar sampai tempat dapat 1 kamar , dan yang 1 kamarnya dikasih dekat pintu gerbang dan kayaknya dekat sepitank . karena bau banget . untung cuma 1 hari . | (pelayanannya, sangat kurang, negative); (kolam renang airnya, kurang terawat, negative)
78 | tempatnya bersih , kemarin saya tinggal 3 hari tetapi sayang airnya mati pas kemarin di pakai , iya meskipun hidup lagi menunggu 10 menit , lumayan bagus . | (tempatnya, bersih, positive); (airnya, mati, negative)
79 | sangat baik . | 
80 | hotel tidak ditemukan sudah mutermuter ikuti peta sampai jam 3 pagi dan sebagai pelanggan sangat kecewa . | (hotel, tidak ditemukan, negative)
81 | lumayan buat istirahat . | 
82 | denah peta ke lokasi kurang jelas , cukup nyaman kalau untuk transit ke kota tujuan , gabung dengan koskosan . | (denah, kurang jelas, negative)
83 | nyaman banget , airy mantap pkonya . | 
84 | lumayan buat backpakeran seperti kita , harga terjangkau dan dekat dari pusatpusat perbelanjaan . | (harga, terjangkau, positive)
85 | lumayan , lebih seperti kos ber ac , kamar mandi berisik dengan suara tidak jelas , colokan cuma ada 1 jadi saya harus pinjam t , tetapi not bad . | (kamar mandi, berisik, negative); (colokan, cuma ada 1, negative)
86 | lokasi sangat dekat dengan bandara , cari makan gampang dan dekat . akses gampang . | (akses, gampang, positive)
87 | lokasi mudah dicari , lumayan bersih , cuma seprai dan bantal tidak standar airy , pakai seprai coklat biasa . dapat kamar lantai 3 pojok , wifi susah nyangkut . kalau sekedar untuk tidur semalam sih oke . | (lokasi, mudah dicari, positive); (seprai, tidak standar, negative); (bantal, tidak standar, negative); (wifi, susah nyangkut, negative)
88 | tidak ada telepon di kamar dan telepon hanya tersedia di koridor dengan deringan sangat keras sekali . | (telepon, tidak ada, negative)
89 | cukup bersih dan enak kalau buat backpakeran . | 
90 | aksesnya mudah puas banget pokoknya kami sekeluarga . | (aksesnya, mudah, positive)
91 | tempat nyaman dan tenang . kamar luas . pelayanan ramah , hade lah . sangat memuaskan . | (tempat, nyaman, positive); (tempat, tenang, positive); (kamar, luas, positive); (pelayanan, ramah, positive)
92 | saya sangat sangat sangat kecewa sekali . | 
93 | menginap pada tanggal 31 desember , memesan beberapa kamar . sempat bermasalah dengan 1 kamar karena ada krusakan . tetapi di bantu pihak hotel nya , mbak rani , bapak dian dan bapak rudi dengan sangat baik . keluarga kami sangat puas . area luas , bersih . akan kembali lagi nanti . terima kasih hotel dan airy . | (area, luas, positive)
94 | sangat suka . room nya juga bersih . tatanan rapi . dapat snack juga . | (room nya, bersih, positive); (tatanan, rapi, positive); (snack, dapat, positive)
95 | mudahmudahan lain kali dapat yang lebih baik kondisinya , harga boleh murah tetapi tetap kelayakan harus diutamakan . | 
96 | lumayan murah . ac tidak dingin . kamar mandi kurang bersih . lingkungan sekitar kamar kurang bersih . | (ac, tidak dingin, negative); (kamar mandi, kurang bersih, negative); (lingkungan, kurang bersih, negative)
97 | lumayan lah . | 
98 | lumayan untuk liburan keluarga kecil , tempat nyaman dan aman . | (tempat, nyaman, positive); (tempat, aman, positive)
99 | awalnya . kami agak sulit mencari , ternyata ini adalah nama yang sama oggi house yang terdaftar juga di list . | 
100 | sangat puas so far . dengan airy ( taman remaja kusuma bangsa surabaya ) . | 
101 | secara garis besar cukup bagus dan nyaman . termasuk fasilitas internet . cuma sayangnya , terutama untuk yang muslim seperti saya , susah untuk sholat didalam kamar karena sempit . terima kasih . | (kamar, sempit, negative)
102 | tidak kedap suara , sehingga suara dari luar kamar terdengar jelas dan itu sangat menganggu , seperti tengah malam ada suara orang dorongdorong trolly . | 
103 | lumayan bagus , resepsionis harusnya 24 jam standby . | 
104 | lebih dari cukup untuk di kelasnya . | 
105 | sangat memuaskan . setiap hari kamar dibersihkan . karyawan hotelnya juga telaten dan baik banget . | (karyawan hotelnya, telaten, positive); (karyawan hotelnya, baik banget, positive)
106 | sangat memuaskan . recomended . | 
107 | sangat rekomen banget , tempatnya bersih , rapi , pelayanannya ramah . wangi , pokoknya bagus ! tidak akan nyesal menginap di sini . pasti kami akan berkunjung lagi jika istri dinas ke jakarta lagi : ) . | (tempatnya, bersih, positive); (tempatnya, rapi, positive); (pelayanannya, ramah, positive)
108 | sangat rekomen banget , tempatnya bersih , rapi , pelayanannya ramah . wangi , pokoknya bagus ! tidak akan nyesal menginap di sini . pasti kami akan berkunjung lagi jika istri dinas ke jakarta lagi : ) . | (tempatnya, bersih, positive); (tempatnya, rapi, positive); (pelayanannya, ramah, positive)
109 | lumayan untuk harga diskon . ac , tv , westafel semua baik . cuma kmrrn habis ada wedding party , belum selesai , jadi sampah nya bau . | (ac, baik, positive); (tv, baik, positive); (westafel, baik, positive)
110 | cukup nyaman untuk keluarga , sangat strategis dengan objek wisata . kebersihan perlu di tingkatkan lagi . kamar yang saya tempati sedikit aroma tidak sedap dari kamar mandi . | (kebersihan, perlu di tingkatkan lagi, negative); (kamar mandi, sedikit aroma tidak sedap, negative)
111 | cukup nyaman untuk keluarga , sangat strategis dengan objek wisata . kebersihan perlu di tingkatkan lagi . kamar yang saya tempati sedikit aroma tidak sedap dari kamar mandi . | (kebersihan, perlu di tingkatkan lagi, negative); (kamar mandi, sedikit aroma tidak sedap, negative)
112 | kamar luas , pelayanan ramah , sangat nyaman . | (kamar, luas, positive); (pelayanan, ramah, positive)
113 | lumayan untuk first time . | 
114 | asyik bisa bertiga sekamar . dapat sarapan juga , walopun sarapannya kalau habis , tidak ditambah lagi he . kamar airy nya juga di lantai 3 , lumayan juga naik tangganya he . tetapi overall oke . | (sarapan, dapat, positive); (sarapannya, tidak ditambah lagi, negative); (overall, oke, positive)
115 | sudah beberapa kali menginap disini . dekat juga dengan tempattempat kuliner , meskipun agak masuk gang tetapi lokasi strategis . | (lokasi, strategis, positive)
116 | kamar nyaman bersih , puas banget , harga pun bersahabat . | (kamar, nyaman, positive); (kamar, bersih, positive); (harga, bersahabat, positive)
117 | cukup menyenangkan hanya pelayanan dari resepsiinis yang kurang oke , saya datang jam 1 sing diminta mnunggu dan meninggalkan nomor telepon agar saat room sudah siap saya akan di hubungi , kemudian saya keluar makan siang sehingga jam 2 sing lebih tidak ada kabar dari pihak hotel ternyata room sudah siap saat saya datang lagi . | (pelayanan, kurang oke, negative); (resepsiinis, kurang oke, negative)
118 | airnya jam 12 malam mati , padahal sangat butuh . | (airnya, mati, negative)
119 | karnaa salah masukkan tanggal jadi nya pembayaran ini sangat siaa sia . | 
120 | lumayan cocok buat salesman . sayang tidak ada air panas dan wifi . | (air panas, tidak ada, negative); (wifi, tidak ada, positive)
121 | sangat menyenangkan , nyaman , homey , kamar rapi , parkir kondusif . kamar cukup untuk dua orang , tetapi terlalu kecil ketika harus bawa anak kecil lebih dari 1 . | (kamar, rapi, positive); (parkir, kondusif, positive); (kamar, cukup, positive)
122 | sangat menyenangkan , nyaman , homey , kamar rapi , parkir kondusif . kamar cukup untuk dua orang , tetapi terlalu kecil ketika harus bawa anak kecil lebih dari 1 . | (kamar, rapi, positive); (parkir, kondusif, positive); (kamar, cukup, positive)
123 | sangat menyenangkan , nyaman , homey , kamar rapi , parkir kondusif . kamar cukup untuk dua orang , tetapi terlalu kecil ketika harus bawa anak kecil lebih dari 1 . | (kamar, rapi, positive); (parkir, kondusif, positive); (kamar, cukup, positive)
124 | suka banget tetapi sayang kemarin dapat kamar yang agak sedikit kurang bersih dan bau . | (kamar, agak sedikit kurang bersih, negative); (kamar, bau, negative)
125 | lumayan untuk istirahat . tetapi lain kali tidak pakai bonus kecoak iya . | 
126 | lumayan lah hotel dekat ke mana mana bisa jalan kaki , dekat juga dari bandara . | 
127 | tertawa . kelihatan kolam renang besar , tidak tahu buat anakanak kali iya . naik tangga lagi . kamarnya cukup luas dan bersih . cuma air di kamar mandi kecil . shower harus diganti . wifi tidak ada . dapat kamarnya lt.3 . naik tangga . bawa barang agak ngosngosan . cuma untungnya ke manamana dekat . | (kolam renang, besar, positive); (kamarnya, cukup luas, positive); (kamarnya, bersih, positive); (air, kecil, negative); (shower, harus diganti, negative); (wifi, tidak ada, negative)
128 | cukup baik dengan harga murah , fasilitas oke cuma kamar mandi saja sedikit kotor . | (harga, murah, positive); (fasilitas, oke, positive); (kamar mandi, sedikit kotor, negative)
129 | handuk bersih , free wifi bagus , ada snack . pintu kamar mandi tidak bisa ditutup rapat dari luar sehingga bau wc masuk ke dalam kamar cukup mengganggu . | (handuk, bersih, positive); (wifi, bagus, positive); (snack, ada, positive); (pintu kamar mandi, tidak bisa ditutup rapat, negative)
130 | lumayan lah dengan harga segitu . | 
131 | cukup memuaskan . nanti mau menginap di sana lagi deh . | 
132 | nyaman banget untuk rehat sebelum ke bandara kamar bersih cuma tidak ada air panas ada dapur nya juga love bangett murah lagii top banget . | (kamar, bersih, positive); (air panas, tidak ada, negative)
133 | nyaman banget dan bersih , free pula pengantaran kebandara pokoky good bgtz pelayanan . | (pelayanan, good bgtz, positive)
134 | lumayan untuk singgah menghabiskan waktu istirahat . | 
135 | cukup nyaman . | 
136 | ketiadaan tempat parkir mobil seharusnya diinfokan di profile hotel . itu akan sangat membantu . | (tempat parkir mobil, ketiadaan, negative)
137 | nyman banget mantap ! recommended . | 
138 | bersih dan ramah banget . | 
139 | saluran ac yang ke kamar mandi tolong diperbaiki masalahnya tidak enak banget lagi buang air kena tetesan air dari selang pembuangan ac . | (saluran ac, tolong diperbaiki, negative)
140 | cukup puas dan hotelnya sangat bersih . | (hotelnya, sangat bersih, positive)
141 | hari pertama tidur berisik banget . suara dari luar kedengaran jelas di dlam , suara tutup pintu , buka pintu , orang berjalan . hari keke tidak terlalu , jendela silau . kamar tidur yang saya tempati sebelumnya sudah pernah saya tempati dan kerusakan meja sebelah tempat tidur tetap saja dibiarkan rusak seperti itu , tidak ada perbaikan . kebersihan dan kerapian oke . | (jendela, silau, negative); (kebersihan, oke, positive); (kerapian, oke, positive)
142 | hari pertama tidur berisik banget . suara dari luar kedengaran jelas di dlam , suara tutup pintu , buka pintu , orang berjalan . hari keke tidak terlalu , jendela silau . kamar tidur yang saya tempati sebelumnya sudah pernah saya tempati dan kerusakan meja sebelah tempat tidur tetap saja dibiarkan rusak seperti itu , tidak ada perbaikan . kebersihan dan kerapian oke . | (jendela, silau, negative); (kebersihan, oke, positive); (kerapian, oke, positive)
143 | hari pertama tidur berisik banget . suara dari luar kedengaran jelas di dlam , suara tutup pintu , buka pintu , orang berjalan . hari keke tidak terlalu , jendela silau . kamar tidur yang saya tempati sebelumnya sudah pernah saya tempati dan kerusakan meja sebelah tempat tidur tetap saja dibiarkan rusak seperti itu , tidak ada perbaikan . kebersihan dan kerapian oke . | (jendela, silau, negative); (kebersihan, oke, positive); (kerapian, oke, positive)
144 | hari pertama tidur berisik banget . suara dari luar kedengaran jelas di dlam , suara tutup pintu , buka pintu , orang berjalan . hari keke tidak terlalu , jendela silau . kamar tidur yang saya tempati sebelumnya sudah pernah saya tempati dan kerusakan meja sebelah tempat tidur tetap saja dibiarkan rusak seperti itu , tidak ada perbaikan . kebersihan dan kerapian oke . | (jendela, silau, negative); (kebersihan, oke, positive); (kerapian, oke, positive)
145 | lumayan hanya untuk transit istirahat dalam perjalanan . | 
146 | penginapan sekaligus kostkostan , lumayan kalau hanya untuk beristirahat . kamar luas . | (kamar, luas, positive)
147 | lumayan lah . cuma belinya lewat applikasi saja lebih murah . | 
148 | pelayannya ramah . menu lumayan . iya buat transit atau cuma buat istirahat cukup nyaman . | (pelayannya, ramah, positive); (menu, lumayan, positive)
149 | lumayan worth it untuk harga promo . | 
150 | nyaman banget , kerasan deh pokoknya . suasananya tenang tetapi tetap terasa ada manusianya . he . | (suasananya, tenang, positive)
151 | nyaman banget , kerasan deh pokoknya . suasananya tenang tetapi tetap terasa ada manusianya . he . | (suasananya, tenang, positive)
152 | lokasi strategis , dekat dengan laundry , indomaret , tempat makan , pelayanan ramah , cctv , rental motor dan mobil , kamar bersih dan cukup luas , ada air panas , ac , tv , wifi . kekurangannya hanya wifi di kamar kurang kencang , jadi harus buka pintu atau duduk di depan kamar , dan tidak ada keset di depan wc . | (lokasi, strategis, positive); (pelayanan, ramah, positive); (kamar, bersih, positive); (air panas, ada, positive); (ac, ada, positive); (tv, ada, positive); (wifi, ada, positive); (wifi, kurang kencang, negative); (keset, tidak ada, negative)
153 | ruangan lebar . namun kekurangannya tidak ada hot shower . kamar dibersihkan tanpa diminta , tetapi hal tersebut sangat berbahaya untuk menjaga kepercayaan pelanggan . sebaiknya kamar jangan dibersihkan tanpa diminta . csnya ramah . | (ruangan, lebar, positive); (hot shower, tidak ada, negative); (csnya, ramah, positive)
154 | sangat bagus , tetapi airnya bau . | (airnya, bau, negative)
155 | saya harus berjalan kaki sangat jauh karena nebeng parkir di gedung lain . | 
156 | lumayan lah untuk penginapan saja , oke punya . | 
157 | lumayan bagus . disarankan untuk mengganti spring bednya karena sudah lembek . | (spring bednya, lembek, negative)
158 | murmer , agak kotor , pelayannya ramah , kelengkapan kurang sesuai , showernya brekelwe . | (pelayannya, ramah, positive); (kelengkapan, kurang sesuai, negative); (showernya, brekelwe, negative)
159 | kamar bersih , chanel tv sedikit . lumayan lah . | (kamar, bersih, positive); (chanel tv, sedikit, negative)
160 | pelayanan ramah . cuma kondisi hotel minus banget ( liftnya seram , cat hotel kusam , cat terkelupas , masih ada handuk bekas tergantung dalam lemari , no wifi ) . | (pelayanan, ramah, positive); (liftnya, seram, negative); (cat hotel, kusam, negative); (cat, terkelupas, negative); (wifi, no, negative)
161 | kamarnya bersih , akses ke lantai 3 masih pakai tangga jadi lumayan lelah . | (kamarnya, bersih, positive)
