idx,sents,triples,filename
59,nyaman stay disini mas yang jaga malam baik .,"[(['yang', 'jaga', 'malam'], ['baik'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-59.png
61,"kamar tidak sesuai dengan gambar , kamar dan kamar mandi kotor , seprai seperti bekas pakai ada rambut , ac mati setiap 30 menit sekali ( tidak bisa direset timernya ) , listrik kamar mati jam 1 pagi .","[(['kamar'], ['tidak', 'sesuai', 'dengan', 'gambar'], 'NG'), (['kamar'], ['kotor'], 'NG'), (['kamar', 'mandi'], ['kotor'], 'NG'), (['ac'], ['mati'], 'NG'), (['listrik', 'kamar'], ['mati'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-61.png
64,ac nya parah . berisik bersuara . buat tidak bisa tidur sama sekali . lokasi nya susah minta ampun ditemukan .,"[(['ac', 'nya'], ['parah'], 'PO'), (['ac', 'nya'], ['berisik', 'bersuara'], 'NG'), (['lokasi', 'nya'], ['susah'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-64.png
67,"baik semua , lengkap dan reservasi baik , pelayanan ramah dan good for airy .","[(['reservasi'], ['baik'], 'PO'), (['pelayanan'], ['ramah'], 'PO'), (['pelayanan'], ['good'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-67.png
70,pilih kamar yang kasurnya muat 2 orang . awalnya bagus tetapi tengah malam listriknya habis dan disuruh pindah kamar yang kasurnya lebih kecil . tidak ada disediakan pouch yang isinya perlengkapan mandi . agak kecewa sebenarnya .,"[(['kasurnya'], ['lebih', 'kecil'], 'NG'), (['perlengkapan', 'mandi'], ['tidak', 'ada'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-70.png
83,"1 . hentikan kontak dari yang tersedia 6 lubang , yang bisa dipakai cuma 1 lubang , 2 lubang buat tv dan kulkas . kok pelit listrik banget , terus pas pakai kompor listrik bahkan turun daya .",[],/kaggle/working/sus-res-type2/figures/figures-83.png
84,lumayan lah . meski lelah naik turun tangga mantap .,[],/kaggle/working/sus-res-type2/figures/figures-84.png
88,cocoklah untuk singgah 1 2 hari . nyaman dan tidak bau kamar mandinya .,"[(['kamar', 'mandinya'], ['tidak', 'bau'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-88.png
94,"handuk tidak di kasih , air hangat tidak jalan , tolong di tingkat kan pelayanan dan fasilitas nya .","[(['handuk'], ['tidak', 'di', 'kasih'], 'NG'), (['air', 'hangat'], ['tidak', 'jalan'], 'NG'), (['pelayanan'], ['tolong', 'di', 'tingkat'], 'NG'), (['fasilitas', 'nya'], ['tolong', 'di', 'tingkat'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-94.png
95,"kamar sangat bersih dan nyaman , hotel bersih , akan lebih baik ada hair dryer di kamar .","[(['kamar'], ['sangat', 'bersih'], 'PO'), (['kamar'], ['nyaman'], 'PO'), (['hotel'], ['bersih'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-95.png
98,suka banget pakai airy . dihotelnya juga nyaman memang cuma sinyalnya yang susah tetapi pelayanan suka dengan harga segitu cucp habis besok q pakai airy lagi kalau psanpsan hotel .,"[(['dihotelnya'], ['nyaman'], 'PO'), (['pelayanan'], ['suka'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-98.png
103,": dapat diskon , kamar bersih , ac dan water heater oke , ada free snack dan air mineral .","[(['kamar'], ['bersih'], 'PO'), (['ac'], ['oke'], 'PO'), (['water', 'heater'], ['oke'], 'PO'), (['free', 'snack'], ['ada'], 'PO'), (['air', 'mineral'], ['ada'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-103.png
107,"ukuran handuk yang tersedia sangat kecil , dan saya check in jam 6 magrib sudah di suruh check out jam 1 .","[(['ukuran', 'handuk'], ['sangat', 'kecil'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-107.png
110,bagus kamar nyaman tetapi sayang handuk cuma di kasih satu .,"[(['kamar'], ['nyaman'], 'PO'), (['handuk'], ['di', 'kasih', 'satu'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-110.png
112,"sangat memuaskan . tempat nyaman , bersih , penjaga nya ramah , dekat dengan prawirotaman . harga terjangkau .","[(['tempat'], ['nyaman'], 'PO'), (['tempat'], ['bersih'], 'PO'), (['penjaga', 'nya'], ['ramah'], 'PO'), (['harga'], ['terjangkau'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-112.png
116,"untuk budget room lumayan lah , sesuai harga .","[(['budget', 'room'], ['lumayan'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-116.png
119,aku suka disini . dapat kue basah dan ada coffee yang super enak .,"[(['coffee'], ['super', 'enak'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-119.png
120,"tidak nyaman , acnya juga manual .","[(['acnya'], ['manual'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-120.png
122,posisi strategis . banyak tempat makan . hanya perlu keluar sedikit sambil olahraga jalan kaki .,"[(['posisi'], ['strategis'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-122.png
124,"sangat baik dalam segala hal tidak sesuai dengan expetasi saya , benar benar tempat yang sangat memuask .","[(['tempat'], ['sangat', 'memuask'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-124.png
125,staf nya ramah dan bersedia memberikan bantuan tanpa diminta secara langsung . good job airy eco sleman merapi .,"[(['staf', 'nya'], ['ramah'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-125.png
126,cocok untuk yang ada kerjaan di sekitar wtc .,[],/kaggle/working/sus-res-type2/figures/figures-126.png
128,"kamarnya bersih , nyaman , adem dan anti macet .","[(['kamarnya'], ['bersih'], 'PO'), (['kamarnya'], ['nyaman'], 'PO'), (['kamarnya'], ['adem'], 'PO'), (['kamarnya'], ['macet'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-128.png
133,"kecewa berat belum check in mau cencel gede rasa "" ada bwk kwn mau rayain ulang tahun tk di perbolehkan . harus ada surat nikah apalah ribet . sudah tk check in tk bisa cencel uang tk di kemblikan bad !",[],/kaggle/working/sus-res-type2/figures/figures-133.png
135,"spechless ketika dapat kamar yang viewnya langsung kolam renang , terimakasih airy : ) .",[],/kaggle/working/sus-res-type2/figures/figures-135.png
139,"wifi tidak bisa di akses , ac bocor dan banyak semut merahnya .","[(['wifi'], ['tidak', 'bisa', 'di', 'akses'], 'NG'), (['ac'], ['bocor'], 'NG'), (['ac'], ['banyak', 'semut', 'merahnya'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-139.png
140,"kamar bersih , kamar mandi bersih , kolam renang baik , classic atmosphere .","[(['kamar'], ['bersih'], 'PO'), (['kamar', 'mandi'], ['bersih'], 'PO'), (['kolam', 'renang'], ['baik'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-140.png
151,recomanded buat mbolang ke malang . pelayanan staf nya baik .,"[(['pelayanan', 'staf', 'nya'], ['baik'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-151.png
155,"lumayan lah . sangat terjangkau , namun perlu ada yang dibenahi soal kebersihan kasurnya . kemarin saya mendapati kasurnya jorok , banyak helai rambut , sepertinya belum dibersihkan belum diganti seprai bekas pengunjung sebelumnya .","[(['kasurnya'], ['jorok'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-155.png
162,kebersihan lemari dan perabot . tidak ada wifi .,"[(['wifi'], ['tidak', 'ada'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-162.png
163,"pas dapat kamar yang airnya mengalir terus , buat susah tidur . makanan iya alhamdulillah , lokasi strategis . lorong menuju kamar apek , ganti atau hilangkan karpetnya saja mungkin akan lebih baik . staf ? hm .","[(['lokasi'], ['strategis'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-163.png
164,"galak resepsionis nya , lampu kamar mandi gelap , air payau , lift bau rokok . over all kalau untuk istirahat lumayan lah .","[(['resepsionis', 'nya'], ['galak'], 'PO'), (['lampu', 'kamar', 'mandi'], ['gelap'], 'NG'), (['air'], ['payau'], 'NG'), (['lift'], ['bau', 'rokok'], 'NG'), (['over', 'all'], ['lumayan'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-164.png
168,"ruangan luas , bersih , ada keset kamar mandi . air pan .","[(['ruangan'], ['luas'], 'PO'), (['ruangan'], ['bersih'], 'PO'), (['keset', 'kamar', 'mandi'], ['ada'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-168.png
172,"kamar bagus dan fasilitas komplit , pelayana . juga bagus . terimakasih airy sukses selalu .","[(['kamar'], ['bagus'], 'PO'), (['fasilitas'], ['komplit'], 'PO'), (['pelayana'], ['bagus'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-172.png
176,"bersih , dilantai bawah ada indomaret .",[],/kaggle/working/sus-res-type2/figures/figures-176.png
185,"kamar bersih , staf ramah , internet kencang , . lokasi trategis . puas menginap disini .","[(['kamar'], ['bersih'], 'PO'), (['staf'], ['ramah'], 'PO'), (['internet'], ['kencang'], 'PO'), (['lokasi'], ['trategis'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-185.png
190,"terima kasih atas fasilitasnya . kamar mandi ( air panas ) oke . tempat tidur oke . lemari oke . ac oke snack oke . tempat strategis , dekat swalayan dan tempat makan . parkir motor ada , tetapi sempit . wifi lumayan . tv sinyal sering kabur . alat sholat kurang lengkap , hanya tersedia sajadah . pintu gerbang komplek buka jam 05:00 s/d 23:00 wib .","[(['tempat', 'tidur'], ['oke'], 'PO'), (['lemari'], ['oke'], 'PO'), (['lemari'], ['oke'], 'PO'), (['ac'], ['oke'], 'PO'), (['ac'], ['oke'], 'PO'), (['snack'], ['oke'], 'PO'), (['snack'], ['strategis'], 'PO'), (['tempat'], ['strategis'], 'PO'), (['tv', 'sinyal'], ['sering', 'kabur'], 'NG'), (['alat', 'sholat'], ['kurang', 'lengkap'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-190.png
194,"waktu prtama kali masuk lantainya basah banget padahal checkin sore sekitar jam 4 atau set 5 . terus waktu masuk toilet dan menyalakan showernya untuk buang air kcl tidak nyala , bahkan bocor kemana mana kena celana . kemudian tidak dapat handuk dan selimut ! tv nya juga buram banyak semutnya . kecewa .","[(['lantainya'], ['basah', 'banget'], 'NG'), (['air', 'kcl'], ['tidak', 'nyala'], 'NG'), (['handuk'], ['tidak', 'dapat'], 'NG'), (['tv', 'nya'], ['buram', 'banyak', 'semutnya'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-194.png
200,kamarnya diksh yang jauh sekali padahal pgn renang tetapi jauh turunnya dan jauh juga ke lobi . cumaa tenang dan jauh dari kramaian sja .,[],/kaggle/working/sus-res-type2/figures/figures-200.png
202,"murah , dekat ke bandara dan joger , gampang sewa motor , resepsionis nya ramah dan baik .","[(['resepsionis', 'nya'], ['ramah'], 'PO'), (['resepsionis', 'nya'], ['baik'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-202.png
203,baguss dan sngat memuaskan kamarnya .,"[(['kamarnya'], ['sngat', 'memuaskan'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-203.png
205,"dekat ke malioboro , minimarket , rental , becak . recommended .",[],/kaggle/working/sus-res-type2/figures/figures-205.png
210,"bersih dan aman , lokasi strategis , dekat kuliner dan mart di kawasan bsd .","[(['lokasi'], ['strategis'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-210.png
212,"yang menang dari hotel ini sarapannya enak , tempatnya pas banget sama tikungan jalan , dekat kemana mana , suasananya enak , lumayan bersih .","[(['sarapannya'], ['enak'], 'PO'), (['tempatnya'], ['pas', 'banget'], 'PO'), (['suasananya'], ['enak'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-212.png
214,"dengan harga segitu , layanan yang diberikan sangat layak sekali . kamar yang . luas , dapat snack . recommended place .","[(['layanan'], ['sangat', 'layak', 'sekali'], 'PO'), (['snack'], ['dapat'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-214.png
216,"mantapa sih , cuma akan lebih baik kalau ada sandal di dalam ruangan hotel .",[],/kaggle/working/sus-res-type2/figures/figures-216.png
218,lokasi strategis . dekat pasar tradisional untuk cari sarapan murah meriah . dekat juga dengan bakpia patuk 25 . indomaret . dan ramai mall daerah malioboro . untuk complimentary snak agar diberikan lagi jika menginap lebih dari satu malam .,"[(['lokasi'], ['strategis'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-218.png
219,sarapan nya kurang bervariasi dan lama sekali direfilnya .,"[(['sarapan', 'nya'], ['kurang', 'bervariasi'], 'NG'), (['sarapan', 'nya'], ['lama', 'sekali'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-219.png
232,perbaikannya mungkin lebih diperbanyak lagi kerjasamanya dengan hotelhotel lain yang ada di bangka khususnya di pangkalpinang .,[],/kaggle/working/sus-res-type2/figures/figures-232.png
240,kamar mandinya tolong di perhatikan kembali kebersihannya dan agak sedikit bau dan closet iya terutama . terimakasih .,"[(['kebersihannya'], ['tolong', 'di', 'perhatikan'], 'NG'), (['kebersihannya'], ['agak', 'sedikit', 'bau'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-240.png
242,"sesuai budget , dekat pusat kota , pelayanannya baik .","[(['budget'], ['sesuai'], 'PO'), (['pelayanannya'], ['baik'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-242.png
246,"ketika awal masuk kamar memang agak kurang enak sih wanginya , apesnya sering jepret listriknya . overall masih oke sih , ada harga ada kualitas .","[(['kamar'], ['agak', 'kurang', 'enak'], 'NG'), (['wanginya'], ['agak', 'kurang', 'enak'], 'NT'), (['overall'], ['oke'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-246.png
262,ok semua oke .,"[(['semua'], ['oke'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-262.png
264,"tidak ada kesan sama sekali , terimakasih .",[],/kaggle/working/sus-res-type2/figures/figures-264.png
265,"kamar tidak di sediakan tidak di berikan pelayanan ganti tempat , pelanggan cari sendiri .","[(['kamar'], ['tidak', 'di', 'sediakan'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-265.png
267,"ruangan nya bersih , nyaman , puas menginap di sini .","[(['ruangan', 'nya'], ['bersih'], 'PO'), (['ruangan', 'nya'], ['nyaman'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-267.png
274,"tidak layak untuk hotel , penginapan apalagi airy room yang terkenal dengan bersih nyaman dengan harga lumayan standar bagi kita hanya sekedar numpang tidur .","[(['hotel'], ['tidak', 'layak'], 'PO'), (['harga'], ['lumayan', 'standar'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-274.png
281,"memuaskan sekali menginap di hotel ini . , referal untuk inap di sini lagi .",[],/kaggle/working/sus-res-type2/figures/figures-281.png
299,"kasur twin cukup besar , kamar bersih . minus tanpa jendela dan tidak ada lemarinya . letaknya agak ke dalam dan sekitaran hotel tidak ada jajanan atau indomart .","[(['kasur'], ['cukup', 'besar'], 'PO'), (['kamar'], ['bersih'], 'PO'), (['lemarinya'], ['tidak', 'ada'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-299.png
300,"kotor , ac bocor , sandal kamar tidak ada . sarapan pagi tidak ada . seprai dan selimut sudah bulukan . lantai berdebu , rambut dikamar mandi nyumbat saluran air . ihh airy cari rekanan yang bagus sedikit . menyeramkan tidurnya tetapi sudah kemalaman sampai mau bagaimana lagi .","[(['ac'], ['bocor'], 'NG'), (['sandal', 'kamar'], ['tidak', 'ada'], 'NG'), (['sandal', 'kamar'], ['tidak', 'ada'], 'NG'), (['sarapan', 'pagi'], ['tidak', 'ada'], 'NG'), (['sarapan', 'pagi'], ['bulukan'], 'NG'), (['seprai'], ['bulukan'], 'NG'), (['selimut'], ['bulukan'], 'NG'), (['lantai'], ['berdebu'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-300.png
304,"banyak jaring laba laba kasur berisik sangat tidak layak dengan nama besar dan sering malang melintang di iklan tv , sangat butuh perbaikan kedepannya .","[(['kasur'], ['berisik', 'sangat', 'tidak', 'layak'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-304.png
311,nyaman . kamar luas .,"[(['kamar'], ['luas'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-311.png
312,cuma sayang belum ada musholla didalam kalau mau ke musholla harus jalan beberapa meter dulu dari situ .,[],/kaggle/working/sus-res-type2/figures/figures-312.png
314,"tempat si oke , ada sedikit kendala yang kurang enak , seperti ada banyak kecoak di kamar , air kamar mandi buat gatal dan ber rasa aneh , sisanya baik .","[(['tempat'], ['oke'], 'PO'), (['air', 'kamar', 'mandi'], ['buat', 'gatal'], 'NG'), (['air', 'kamar', 'mandi'], ['ber', 'rasa', 'aneh'], 'NG'), (['sisanya'], ['baik'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-314.png
319,air panas berfungsi smua oke cuma kurang nya lebih bagus adain telepon di kamar teko buat masak air panas . jadi tidak harus ke dapur minta air panas . terimakasih .,"[(['air', 'panas'], ['berfungsi'], 'PO'), (['air', 'panas'], ['oke'], 'PO'), (['smua'], ['oke'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-319.png
320,airy perlu cek standardisasi homestay yang bergabung agar kualitas selalu terjaga .,"[(['kualitas'], ['terjaga'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-320.png
342,sebel karena restoran tempat sarapan ruangan ber ac tetapi diperbolehkan merokok bau nya sangat mengganggu pernapasan bagi yang tidak merokok .,"[(['bau', 'nya'], ['sangat', 'mengganggu'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-342.png
343,lebih mudah jika bepergian jauh tinggal pesan hotel lewat online tidak perlu repotrepot cari hotel murah .,[],/kaggle/working/sus-res-type2/figures/figures-343.png
359,"air botol , snack tidak tersedia tisu juga tidak ada . mohon untuk memperbaiki fasilitas terutama kamar mandi .","[(['air', 'botol'], ['tidak', 'tersedia'], 'NG'), (['snack'], ['tidak', 'tersedia'], 'NG'), (['tisu'], ['tidak', 'ada'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-359.png
373,"overall nyamanlah . lokasi dekat stasiun , banyak warung makan dan laundri si sekitar . ac dingin , kamar mandi lumayan tanpa pemanas , tv oke . cuma agak sempit saja dan wifi tidak bisa diakses .","[(['overall'], ['nyamanlah'], 'PO'), (['ac'], ['dingin'], 'PO'), (['kamar', 'mandi'], ['lumayan', 'tanpa'], 'PO'), (['tv'], ['oke'], 'PO'), (['wifi'], ['tidak', 'bisa', 'diakses'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-373.png
374,"lingkungan tenang , cuma di kamar tidak ada petunjuk arah kiblat . tidak masalah sih tetapi alangkah baiknya kalau ada .","[(['lingkungan'], ['tenang'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-374.png
378,"bagus ini nyaman banget yang kurang itu coba saja ada termos yang teko buat masak air panas sama teh saset sama gula jadi pagi "" bisa buat teh . tetapi ini sudah bagus kok .","[(['ini'], ['bagus'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-378.png
383,"sangat memuaskan . kamar dibersihkan tiap hari , handuk diganti , ada welcome snack , dilengkapi dengan pemanas air dan pengering rambut .","[(['handuk'], ['diganti'], 'PO'), (['welcome', 'snack'], ['ada'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-383.png
388,"pesan kamar yang ada breakfast tetapi tidak dikasih breakfast , tidak ada sabun tidak ada sampo , handuk tidak diganti . nyew .","[(['breakfast'], ['tidak', 'dikasih'], 'NG'), (['handuk'], ['tidak', 'diganti'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-388.png
393,"cukup baik kok . tetapi , kamar yang saya dapat no window . dan handuknya kotor , mengeluh . selebihnya seperti ac dan air panas si oke saja .","[(['handuknya'], ['kotor'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-393.png
408,"saya menginap di kamar 117 , reviewnya : 1 . bantal keras 2 . biasanya dikasih bantal airy , tetapi ini tidak ada . dikasih dua bantal tambahan sih tetapi tidak dikasih sarung bantalnya 3 . tidak ada termos untuk buat air panas 4 . shower bocor 5 . remote tv tidak berfungsi 6 . kenop pintu kamar mandi macet , jadi tidak bisa ditutup rapat 7 . kamar hanya satu kali dibersihkan .","[(['bantal'], ['keras'], 'NG'), (['bantal'], ['tidak', 'ada'], 'NG'), (['sarung', 'bantalnya'], ['tidak', 'dikasih'], 'NG'), (['panas'], ['bocor'], 'NG'), (['shower'], ['bocor'], 'NG'), (['remote', 'tv'], ['tidak', 'berfungsi'], 'NG'), (['kamar'], ['satu', 'kali'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-408.png
410,"hotel bagus , bersih , pelayanan baik , staf hotel ramah , hanya harga yang ditawarkan airy dengan harga apabila beli langsung di hotel tidak terpaut jauh ( agak mahal ) jika tidak ada kupon diskon . karena yang ditawarkan airy tanpa breakfast lho .","[(['hotel'], ['bagus'], 'PO'), (['hotel'], ['bersih'], 'PO'), (['pelayanan'], ['baik'], 'PO'), (['staf', 'hotel'], ['ramah'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-410.png
413,tidak bisa refund . kamar mandi flush owl nya seperti kopi .,[],/kaggle/working/sus-res-type2/figures/figures-413.png
418,recommended buat yang ingin menginap di hotel syariah .,[],/kaggle/working/sus-res-type2/figures/figures-418.png
421,ada bencana tetapi pihak hotel tidak memeberikan toleransi untuk mengubah jadwal menyesal book lewat airy tidak ada kebijakan disaat force mejeur .,[],/kaggle/working/sus-res-type2/figures/figures-421.png
424,yang perlu diperbaiki channel tv nya gambarnya kurang bagus kalau bisa sih pakai tv kabel saja he .,"[(['channel', 'tv', 'nya', 'gambarnya'], ['perlu', 'diperbaiki'], 'NG'), (['channel', 'tv', 'nya', 'gambarnya'], ['kurang', 'bagus'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-424.png
426,"breakfast enak , tempat bagus , tetapi saat tidur tibatiba ada orang yang membuka pintu kamar padahal saya sedang tidur dan kamar dikunci . entah itu tamu lain atau petugas . mohon diperhatikan lagi .","[(['breakfast'], ['enak'], 'PO'), (['tempat'], ['bagus'], 'PO')]",/kaggle/working/sus-res-type2/figures/figures-426.png
429,"fasilitas dan kenyamanan top banget . tetapi resepsionis pelayanan nya kurang . sama jauh kemanamana , tetapi masih bisa taxol kok : ) .","[(['fasilitas'], ['top', 'banget'], 'PO'), (['kenyamanan'], ['top', 'banget'], 'PO'), (['resepsionis', 'pelayanan', 'nya'], ['kurang'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-429.png
431,bersih . dan dekat stasiun .,[],/kaggle/working/sus-res-type2/figures/figures-431.png
438,"kamar cukup bersih , sayang tidak sesuai dengan ekspektasi yang digambar . telepon kamar mati ada nyamuk ac tidak dingin tidak ada paket bathroom seperti biasa standar airy .","[(['kamar'], ['cukup', 'bersih'], 'PO'), (['telepon', 'kamar'], ['mati'], 'NG'), (['ac'], ['tidak', 'dingin', 'tidak', 'ada'], 'NG'), (['paket', 'bathroom'], ['tidak', 'dingin', 'tidak', 'ada'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-438.png
440,"kali kedua menginap 2mlm , yang hari kedua tidak diberi air minum dan lainlain ( tehcelup , kopi gula sachet ) , hanya complimentary snack dan toiletries dari airy saja yang diberikan . masa harus mintaminta terus tiap dihr kedua . mohon perhatiannya , kita selalu pgn kembali ke airy makan teman haryono tetapi seperti ini harus cb cara tempat lain saja .","[(['air', 'minum'], ['tidak', 'diberi'], 'NG'), (['complimentary', 'snack'], ['tidak', 'diberi'], 'NG')]",/kaggle/working/sus-res-type2/figures/figures-440.png
