idx,sents,labels,checkpoint
562,"['kurang', 'bersih', ',', 'banyak', 'serangga', '.']","[([-1], [0, 1], 'NEG'), ([-1], [3, 4], 'NEG')]",FALSE
566,"['nyaman', 'dan', 'bersih', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS')]",FALSE
583,"['bagus', '.', 'parkiran', 'di', 'depan', 'kamar', 'memudahkan', 'orang', 'saat', 'pergi', 'dan', 'lelah', 'bisa', 'langsung', 'menuju', 'kamar', '.']","[([-1], [0], 'POS')]",FALSE
590,"['hanya', 'jarak', 'tempuh', 'menuju', 'metro', 'tanah', 'abang', 'lumayan', 'jauh', '.']",[],TRUE
591,"['bersih', ',', 'bagus', ',', 'ramah', ',', 'cari', 'makanan', 'dekat', ',', 'banyak', 'cafe', 'sekitar', 'hotel', '.', 'di', 'hotelnya', 'pun', 'ada', 'cafe', 'sendiri', '.', 'terimakasih', 'hazotel', ',', 'terimakasih', 'airy', ',', 'terimakasih', 'local', 'guide', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS')]",FALSE
595,"['ini', 'tempat', 'langganan', 'saya', '.']",[],TRUE
596,"['bagus', ',', 'sesuai', 'dengan', 'ekspektasi', 'dan', 'dekat', 'banget', 'dengan', 'mesjid', ',', 'rekomen', 'deh', '.']","[([-1], [0], 'POS'), ([-1], [11], 'POS')]",FALSE
597,"['mau', 'hunian', 'dengan', 'konsep', 'rumahan', 'iya', 'di', 'sini', 'tempatnya', '.']",[],TRUE
598,"['not', 'good', 'enough', '.', 'tidak', 'sesuai', 'ekspektasi', '.']","[([-1], [0, 1, 2], 'NEG'), ([-1], [4, 5, 6], 'NEG')]",FALSE
609,"['bagus', 'banget', 'untuk', 'penginapan', 'seharga', 'ini', '.']","[([-1], [0, 1], 'POS')]",FALSE
612,"['keren', 'banget', ',', 'puas', 'pokoknya', '.', 'makasii', 'iya', '.']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS')]",FALSE
629,"['hotel', 'agak', 'masuk', 'ke', 'gang', ',', 'tetapi', 'tidak', 'jauh', ',', 'dan', 'jadi', 'keuntungan', 'tersendiri', 'karena', 'jauh', 'dari', 'kebisingan', 'jalan', 'rs', 'farmawati', 'yang', 'always', 'macet', 'itu', '.']",[],TRUE
631,"['bagus', ',', 'bersih', ',', 'nyaman', ',', 'dan', 'ramah', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS'), ([-1], [7], 'POS')]",FALSE
641,"['semakin', 'mantap', '.']","[([-1], [1], 'POS')]",FALSE
647,"['semoga', 'tetap', 'dipertahnkn', '.']",[],TRUE
648,"['nyaman', 'banget', ',', 'ramah', 'dan', 'bersiih', '.']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS'), ([-1], [5], 'POS')]",FALSE
659,"['sudah', 'enak', 'to', 'kurang', 'bersih', '.']","[([-1], [0, 1], 'POS'), ([-1], [3, 4], 'NEG')]",FALSE
670,"['sangat', 'baik', '.']","[([-1], [0, 1], 'POS')]",FALSE
673,"['lumayan', 'buat', 'istirahat', '.']","[([-1], [0], 'POS')]",FALSE
679,"['nyaman', 'banget', ',', 'airy', 'mantap', 'pkonya', '.']","[([-1], [0, 1], 'POS'), ([-1], [4], 'POS')]",FALSE
681,"['very', 'recommended', ',', 'nyaman', '.']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS')]",FALSE
686,"['bising', ',', 'kurang', 'bersih', '.']","[([-1], [0], 'NEG'), ([-1], [2, 3], 'NEG')]",FALSE
692,"['maaf', '.', 'kamu', 'tidak', 'jadi', 'menginap', 'karena', 'penerbangan', 'kamu', 'ke', 'bali', 'dibatalkn', 'akibat', 'gunung', 'agung', 'meletus', '.']",[],TRUE
702,"['igin', 'merubah', 'tanggal', '.']",[],TRUE
708,"['tempat', 'makan', 'lebih', 'baik', 'dikasih', 'dinding', 'atau', 'apa', 'begitu', 'biar', 'tidak', 'langsung', 'menghadap', 'ke', 'kamar', '.', 'karena', 'risih', 'kalau', 'dilihat', '.']",[],TRUE
715,"['kebanyakan', 'yang', 'menginap', 'pakai', 'motor', ',', 'tetapi', 'mobil', 'bisa', 'parkir', 'di', 'luar', 'juga', '.']",[],TRUE
728,"['nyaman', 'sekali', ',', 'betah', 'dan', 'rekomended', 'kalau', 'ke', 'surabaya', 'dst.', '.']","[([-1], [0, 1], 'POS'), ([-1], [5], 'POS')]",FALSE
729,"['cukup', 'bersih', 'dan', 'enak', 'kalau', 'buat', 'backpakeran', '.']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS')]",FALSE
730,"['parkir', 'kalau', 'malam', 'penuh', ',', 'mungkin', 'karena', 'ada', 'pengunjung', 'cafe', 'di', 'lantai', 'atas', '.', 'tetapi', 'so', 'far', 'tidak', 'begitu', 'masalah', 'karena', 'staf', 'hotel', 'siap', 'membantu', '.']",[],TRUE
735,"['hotelnya', 'dekat', 'dengat', 'sanur', 'dan', 'lapangan', 'renon', '!']",[],TRUE
739,"['sudah', 'di', 'sampaikan', 'ke', 'airy', 'agent', ',', 'dan', 'tidak', 'ada', 'penyelesaian', 'sampai', 'sekarang', '.']",[],TRUE
744,"['saya', 'sangat', 'sangat', 'sangat', 'kecewa', 'sekali', '.']","[([-1], [1, 2, 3, 4, 5], 'NEG')]",FALSE
749,"['tidak', 'mengecewakan', '.', 'recommended', '!']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS')]",FALSE
759,"['saya', 'tidak', 'jadi', 'inap', ',', 'karena', 'ada', 'perubahan', 'jadwal', 'kegiatan', 'dan', 'di', 'airy', 'tidak', 'tersedia', 'kolom', 'refund', '.']",[],TRUE
768,"['puas', '.', 'bisa', 'istirahat', 'dengan', 'baik', '.']","[([-1], [0], 'POS')]",FALSE
776,"['good', ',', 'cuma', 'kalau', 'naik', 'tangga', 'ke', 'atas', 'lelah', 'juragan', '.']","[([-1], [0], 'POS')]",FALSE
779,"['mudahmudahan', 'lain', 'kali', 'dapat', 'yang', 'lebih', 'baik', 'kondisinya', ',', 'harga', 'boleh', 'murah', 'tetapi', 'tetap', 'kelayakan', 'harus', 'diutamakan', '.']",[],TRUE
781,"['lokasi', 'tengah', 'kota', '.', 'dekat', 'pusat', 'perbelanjaan', '.', 'tidak', 'nyesal', 'lah', '.']","[([-1], [8, 9], 'POS')]",FALSE
786,"['bersih', 'nyaman', ',', 'cuma', 'kadang', 'tiba', 'tiba', 'mati', 'listrik', '.']","[([-1], [0], 'POS'), ([-1], [1], 'POS')]",FALSE
789,"['bagus', ',', 'nyaman', ',', 'aman', 'dan', 'bersih', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS'), ([-1], [6], 'POS')]",FALSE
800,"['lumayan', 'lah', '.']","[([-1], [0], 'POS')]",FALSE
815,"['mantap', 'seperti', 'perumahan', 'begitu', '.']","[([-1], [0], 'POS')]",FALSE
826,"['awalnya', '.', 'kami', 'agak', 'sulit', 'mencari', ',', 'ternyata', 'ini', 'adalah', 'nama', 'yang', 'sama', 'oggi', 'house', 'yang', 'terdaftar', 'juga', 'di', 'list', '.']","[([-1], [3, 4, 5], 'NEG')]",FALSE
828,"['sangat', 'puas', 'so', 'far', '.', 'dengan', 'airy', '(', 'taman', 'remaja', 'kusuma', 'bangsa', 'surabaya', ')', '.']","[([-1], [0, 1], 'POS')]",FALSE
832,"['tidak', 'kedap', 'suara', ',', 'sehingga', 'suara', 'dari', 'luar', 'kamar', 'terdengar', 'jelas', 'dan', 'itu', 'sangat', 'menganggu', ',', 'seperti', 'tengah', 'malam', 'ada', 'suara', 'orang', 'dorongdorong', 'trolly', '.']","[([-1], [0, 1, 2], 'NEG')]",FALSE
836,"['lumayan', 'bagus', ',', 'resepsionis', 'harusnya', '24', 'jam', 'standby', '.']","[([-1], [0, 1], 'POS')]",FALSE
844,"['mantap', 'saudara', 'lakilaki', '.']","[([-1], [0], 'POS')]",FALSE
845,"['lebih', 'dari', 'cukup', 'untuk', 'di', 'kelasnya', '.']",[],TRUE
855,"['saat', 'check', 'in', ',', 'resepsionis', 'menelepon', 'administrator', 'untuk', 'ketersediaan', 'kamar', ',', 'dan', 'saya', 'disuruh', 'pindah', 'ke', 'caba', '.']",[],TRUE
862,"['bersih', 'dan', 'nyaman', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS')]",FALSE
865,"['mungkin', 'beberapa', 'hal', 'harus', 'diperbaiki', 'seperti', 'cat', 'tembok', 'di', 'beberapa', 'titik', 'mengelupas', 'bahkan', 'di', 'lift', 'srickerbya', 'sudah', 'lepas', 'sobek', '.']",[],TRUE
885,"['nyaman', 'dan', 'bersih', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS')]",FALSE
887,"['sangat', 'memuaskan', '.', 'recomended', '.']","[([-1], [0, 1], 'POS'), ([-1], [3], 'POS')]",FALSE
895,"['bagus', '.', 'nyaman', '.', 'bersih', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS')]",FALSE
909,"['nyaman', ',', 'aman', 'dan', 'tenang', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS')]",FALSE
911,"['karena', 'cek', 'outnya', 'jam', '00.40', 'wita', 'minta', 'sarapannya', 'di', 'ganti', 'dengan', 'makan', 'malam', 'tetapi', 'tidak', 'bisa', '.']",[],TRUE
924,"['lumayan', 'untuk', 'first', 'time', '.']","[([-1], [0], 'POS')]",FALSE
926,"['menyenangkan', 'sekali', 'bisa', 'liburan', 'bersama', 'keluarga', 'dan', 'menginap', 'di', 'airy', '.']","[([-1], [0, 1], 'POS')]",FALSE
927,"['kurang', 'ramah', '.']","[([-1], [0, 1], 'NEG')]",FALSE
954,"['karnaa', 'salah', 'masukkan', 'tanggal', 'jadi', 'nya', 'pembayaran', 'ini', 'sangat', 'siaa', 'sia', '.']","[([-1], [1, 2, 3], 'NEG')]",FALSE
983,"['baik', 'sarapan', 'ada', 'kue', 'kadang', 'nasi', 'kuning', 'bagus', 'pemilik', 'sering', 'kunjung', 'untuk', 'kontrol', '.']","[([-1], [0], 'POS')]",FALSE
984,"['lumayan', 'untuk', 'istirahat', '.', 'tetapi', 'lain', 'kali', 'tidak', 'pakai', 'bonus', 'kecoak', 'iya', '.']","[([-1], [0], 'POS')]",FALSE
991,"['bagus', 'saja', '.']","[([-1], [0, 1], 'NEU')]",FALSE
1000,"['lumayan', 'lah', 'hotel', 'dekat', 'ke', 'mana', 'mana', 'bisa', 'jalan', 'kaki', ',', 'dekat', 'juga', 'dari', 'bandara', '.']","[([-1], [0], 'POS')]",FALSE
1010,"['kamar', 'ditinggal', 'padahal', 'sudah', 'dikasih', 'tanda', 'minta', 'dibersihkan', 'dan', 'bilang', 'ke', 'resepsionis', 'tetapi', 'sampai', 'balik', 'ke', 'kamar', 'sorenya', 'masih', 'tidak', 'dibersihkan', ',', 'cuma', 'minta', 'maaf', 'tidak', 'ada', 'kompensasi', '.', 'ggwp', '.']",[],TRUE
1019,"['lumayan', 'lah', 'dengan', 'harga', 'segitu', '.']","[([-1], [0], 'POS')]",FALSE
1022,"['kalau', 'boleh', 'saya', 'putar', 'ulang', 'waktu', 'saya', 'tidak', 'akan', 'menginap', 'disini', '.']","[([-1], [7, 8, 9], 'NEG')]",FALSE
1029,"['nyaman', '.', 'sudah', 'sering', 'stay', 'disini', '.']","[([-1], [0], 'POS')]",FALSE
1032,"['cukup', 'memuaskan', '.', 'nanti', 'mau', 'menginap', 'di', 'sana', 'lagi', 'deh', '.']","[([-1], [0, 1], 'POS')]",FALSE
1036,"['karena', 'tidak', 'bisa', 'refund', 'atau', 'reschedule', '.']",[],TRUE
1041,"['lumayan', 'untuk', 'singgah', 'menghabiskan', 'waktu', 'istirahat', '.']","[([-1], [0], 'POS')]",FALSE
1051,"['cukup', 'nyaman', '.']","[([-1], [0, 1], 'POS')]",FALSE
1056,"['nyman', 'banget', 'mantap', '!', 'recommended', '.']","[([-1], [0, 1], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS')]",FALSE
1057,"['bersih', 'dan', 'ramah', 'banget', '.']","[([-1], [0], 'POS'), ([-1], [2, 3], 'POS')]",FALSE
1059,"['perfect', ',', 'sesuai', 'dengan', 'ekspektasi', 'saya', 'good', 'job', '.']","[([-1], [0], 'POS'), ([-1], [2, 3, 4], 'POS')]",FALSE
1069,"['bagus', ',', 'rapi', ',', 'seperti', 'rumah', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS')]",FALSE
1080,"['lumayan', 'hanya', 'untuk', 'transit', 'istirahat', 'dalam', 'perjalanan', '.']","[([-1], [0], 'POS')]",FALSE
1083,"['recomended', '.']","[([-1], [0], 'POS')]",FALSE
1086,"['wifinya', '.']",[],TRUE
1091,"['memuaskan', 'kok', ',', 'ada', 'karaoke', 'room', 'juga', 'loh', '.']","[([-1], [0], 'POS')]",FALSE
1102,"['lumayan', 'lah', '.', 'cuma', 'belinya', 'lewat', 'applikasi', 'saja', 'lebih', 'murah', '.']","[([-1], [0], 'POS')]",FALSE
1104,"['bersih', 'dan', 'nyaman', '.', 'cuma', 'arang', 'nomor', 'kamar', 'ke', 'atas', 'tidak', 'ada', '.', 'jadi', 'bingung', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS')]",FALSE
1124,"['saya', 'sarankan', 'inap', 'di', 'raz', 'hotel', 'pakai', 'airy', '.', 'oke', 'punya', '!']","[([-1], [9], 'POS')]",FALSE
1127,"['bagus', ',', 'nyaman', ',', 'bersih', '.', 'recommended', 'lah', '.']","[([-1], [0], 'POS'), ([-1], [2], 'POS'), ([-1], [4], 'POS'), ([-1], [6], 'POS')]",FALSE
1129,"['lumayan', 'worth', 'it', 'untuk', 'harga', 'promo', '.']","[([-1], [0], 'POS')]",FALSE
1137,"['oke', 'dengan', 'harga', 'kamarnya', '.']","[([-1], [0], 'POS')]",FALSE
1140,"['memberikan', 'segala', 'kemudahan', 'didunia', 'traveling', 'dengan', 'budget', 'yang', 'ekonomis', '.']",[],TRUE
1157,"['kamar', 'minta', 'dibersihkan', 'dulu', ',', 'baru', 'petugasnya', 'membersihkan', '.']",[],TRUE
