id,sents,expr,polarity,labels,target_repr,completed_labels,completed_target_repr,checkpoint
154,"sebenarnya sudah terlihat bersih , tetapi mengapa banyak semut di meja dan di tempat tidur , membuat tidak nyaman sekali .",tidak nyaman sekali,NEG,"([-1], [17, 18, 19], ","(hotel, tidak nyaman sekali, ","([-1], [17, 18, 19], 'NEG')","(hotel, tidak nyaman sekali, negatif)",TRUE
158,"lokasi strategis banget , para stafnya ramahramah . kamar bersih dan wangi pokoknya oke , 4 jempol : ) tidak nyesal deh menginap disini . terimakasih airy dan terimakasih juga buat londres bed dan breakfast : ) .",oke,POS,"([8], [13], ","(hotel, oke, ","([8], [13], 'POS')","(hotel, oke, positif)",TRUE
160,staf ramah dan kamar bersih recommended .,recommended,POS,"([-1], [5], ","(hotel, recommended, ","([-1], [5], 'POS')","(hotel, recommended, positif)",TRUE
162,bagus . cuma kasurnya agak berisik .,bagus,POS,"([-1], [0], ","(hotel, bagus, ","([-1], [0], 'POS')","(hotel, bagus, positif)",TRUE
170,"nyaman , tetapi kamar agak sempit dan bernyamuk .",nyaman,POS,"([-1], [0], ","(hotel, nyaman, ","([-1], [0], 'POS')","(hotel, nyaman, positif)",TRUE
179,bagus . hanya saja tidak ada lift untuk ke lantai 3 . he .,bagus,POS,"([-1], [0], ","(hotel, bagus, ","([-1], [0], 'POS')","(hotel, bagus, positif)",TRUE
182,nyaman bersih acnya cool sangat .,nyaman,POS,"([-1], [0], ","(hotel, nyaman, ","([-1], [0], 'POS')","(hotel, nyaman, positif)",TRUE
182,nyaman bersih acnya cool sangat .,bersih,POS,"([-1], [1], ","(hotel, bersih, ","([-1], [1], 'POS')","(hotel, bersih, positif)",TRUE
187,"sangat baik , walaupun terdiri dari lima lantai dan tangga , tidak ada lift , pelayanan sangat baik , tetapi kalau lebih dari 2 orang kena charge .",sangat baik,POS,"([-1], [0, 1], ","(hotel, sangat baik, ","([-1], [0, 1], 'POS')","(hotel, sangat baik, positif)",TRUE
189,"untuk kamar standar dari segi kebersihan perlu ditingkatkan , mungkin karena bangunan dan interior lama jadi kesannya kurang nyaman , pelayanan cukup baik , ada snack juga , over all bagus .",kurang nyaman,NEG,"([16], [17, 18], ","(hotel, kurang nyaman, ","([16], [17, 18], 'NEG')","(hotel, kurang nyaman, negatif)",TRUE
191,"pelayanan nya benarbenar ramah , pokok nya tidak nyesal .",tidak nyesal,POS,"([-1], [7, 8], ","(hotel, tidak nyesal, ","([-1], [7, 8], 'POS')","(hotel, tidak nyesal, positif)",TRUE
196,"untuk harga yang sangat terjangkau , fasilitasnya melebihi ekspektasi . kamar luas , dingin . sayangnya water heater sedang dibenarkan dan kasur agak keras . cuma untuk harga begini , sangat sangat oke !",sangat sangat oke,POS,"([-1], [30, 31, 32], ","(hotel, sangat sangat oke, ","([-1], [30, 31, 32], 'POS')","(hotel, sangat sangat oke, positif)",TRUE
204,"sangat kecewa , wc nya kotor banget , tidak layak pakai dan tv runyem , dan tidak ada makanan snack nya dan gaada paket sabun , samponya .",sangat kecewa,NEG,"([-1], [0, 1], ","(hotel, sangat kecewa, ","([-1], [0, 1], 'NEG')","(hotel, sangat kecewa, negatif)",TRUE
216,"kamar nyaman , bersih , dan karyawannya ramah "" dan baik "" . tetapi sayang tidak kedap suara jadi agak bising karena suara kendaraan kencang . tetapi rekomen banget deh .",agak bising,NEG,"([-1], [19, 20], ","(hotel, agak bising, ","([-1], [19, 20], 'NEG')","(hotel, agak bising, negatif)",TRUE
216,"kamar nyaman , bersih , dan karyawannya ramah "" dan baik "" . tetapi sayang tidak kedap suara jadi agak bising karena suara kendaraan kencang . tetapi rekomen banget deh .",rekomen banget,POS,"([-1], [27, 28], ","(hotel, rekomen banget, ","([-1], [27, 28], 'POS')","(hotel, rekomen banget, positif)",TRUE
218,tidak nyaman kamar mandi bau tidak ada gantungan baju dan lingkunganya berisik .,tidak nyaman,NEG,"([-1], [0, 1], ","(hotel, tidak nyaman, ","([-1], [0, 1], 'NEG')","(hotel, tidak nyaman, negatif)",TRUE
231,lumayan . sesuai harga murah neriah .,lumayan,POS,"([-1], [0], ","(hotel, lumayan, ","([-1], [0], 'POS')","(hotel, lumayan, positif)",TRUE
237,"kamarnya bersih , nyaman , ac nya dingin , sarapannya juga enak . dan sangat rekomended untuk liburan .",sangat rekomended,POS,"([-1], [14, 15], ","(hotel, sangat rekomended, ","([-1], [14, 15], 'POS')","(hotel, sangat rekomended, positif)",TRUE
241,"cukup memuaskan , hanya tv yang agak mengecewakan .",cukup memuaskan,POS,"([-1], [0, 1], ","(hotel, cukup memuaskan, ","([-1], [0, 1], 'POS')","(hotel, cukup memuaskan, positif)",TRUE
254,"bagus , toilet nya aga kotor .",bagus,POS,"([-1], [0], ","(hotel, bagus, ","([-1], [0], 'POS')","(hotel, bagus, positif)",TRUE
255,"kamarnya luas , pegawainya ramahramah sekali dan sangat membantu . lokasinya juga dekat kalau mau pergi kemanakemana . sarapannya juga enak , puas sekali menginap disini . kalau ke cirebon lagi pasti bakal balik lagi inap disini .",puas sekali,POS,"([24], [22, 23], ","(hotel, puas sekali, ","([24], [22, 23], 'POS')","(hotel, puas sekali, positif)",TRUE
263,nyaman bersih cuma sayang tidak ada tisu toiletnya .,nyaman,POS,"([-1], [0], ","(hotel, nyaman, ","([-1], [0], 'POS')","(hotel, nyaman, positif)",TRUE
263,nyaman bersih cuma sayang tidak ada tisu toiletnya .,bersih,POS,"([-1], [1], ","(hotel, bersih, ","([-1], [1], 'POS')","(hotel, bersih, positif)",TRUE
267,"sebenarnya menyenangkan pemandangan indah , tetaoi kurang terawat dan sewaktu saya datang lantai menuju kamar masih sangat kotor .",kurang terawat,NEG,"([-1], [6, 7], ","(hotel, kurang terawat, ","([-1], [6, 7], 'NEG')","(hotel, kurang terawat, negatif)",TRUE
269,"bersama temanteman menginap di beberapa kamar dengan airy , ada handuk yang bau , lorong menuju kamar bau rokok , ada selimut yang kotor , ada bantal airy biru bau keringat , tempat makan outdoor juga tidak bebas rokok padahal banyak anak - anak , wifi oke banget .",ada,-,"([-1], [25], ","(hotel, ada, ","([-1], [25], '-')",#N/A,FALSE
284,"kamar bagus dan karyawan ramah , tetapi satu hal hanya waktu sarapan pukul 8wita belum siap dan baru di buat ! payah . andai kalau aku tidak turun kamar mungkin tidak di sediakan . untuk lainnya good .",payah,NEG,"([-1], [21], ","(hotel, payah, ","([-1], [21], 'NEG')","(hotel, payah, negatif)",TRUE
291,lumayan nyaman cuma fasilitas nya kurang .,lumayan nyaman,POS,"([-1], [0, 1], ","(hotel, lumayan nyaman, ","([-1], [0, 1], 'POS')","(hotel, lumayan nyaman, positif)",TRUE
301,"lumayan dan bersih , cuma handle pintu kamar mandinya tidak ada .",lumayan,POS,"([-1], [0], ","(hotel, lumayan, ","([-1], [0], 'POS')","(hotel, lumayan, positif)",TRUE
301,"lumayan dan bersih , cuma handle pintu kamar mandinya tidak ada .",bersih,POS,"([-1], [2], ","(hotel, bersih, ","([-1], [2], 'POS')","(hotel, bersih, positif)",TRUE
302,"bersih dan nyaman , sayang tidak ada tv kabel .",bersih,POS,"([-1], [0], ","(hotel, bersih, ","([-1], [0], 'POS')","(hotel, bersih, positif)",TRUE
302,"bersih dan nyaman , sayang tidak ada tv kabel .",nyaman,POS,"([-1], [2], ","(hotel, nyaman, ","([-1], [2], 'POS')","(hotel, nyaman, positif)",TRUE
314,"lumayan , keseluruhan nyaman sayangnya , ada beberapa hal yang harus diperhatikan , kurangnya kebersihan pada kamar , ada bekas rexona di bawah kasur dari tamu awal , tetapi selebihnya luar biasa . nyaman , wifi cepat . pelayanan yang baik . terimakasih . rekomended buat backpacker yang bingung cari tempat untuk menginap , terimakasih airy . anda memang kece .",lumayan,POS,"([-1], [0], ","(hotel, lumayan, ","([-1], [0], 'POS')","(hotel, lumayan, positif)",TRUE
331,lumayan . harga murmer . fasilitas standar hotel . untuk makanan agak kurang sih tetapi overall good .,lumayan,POS,"([-1], [0], ","(hotel, lumayan, ","([-1], [0], 'POS')","(hotel, lumayan, positif)",TRUE
332,cukup bersih meski tanpa sarapan . wifi dan tv perlu pembenahan karena tidak jalan .,cukup bersih,POS,"([-1], [0, 1], ","(hotel, cukup bersih, ","([-1], [0, 1], 'POS')","(hotel, cukup bersih, positif)",TRUE
334,"untuk yang skg sedikit agak mengecewakan dengan toiletnya . toiletnya bau iya , sehingga menggaggu untuk kami . apalagi pas pagi itu bau banget . jadi bangun tidur tidak nyaman begitu . kalau bisa minta tolong di perbaiki pihak hotelnya mgkin ada yang tersumbat . terima kasih .",tidak,-,"([-1], [28], ","(hotel, tidak, ","([-1], [28], '-')",#N/A,FALSE
340,aslinya tidak sesuai dengan gambar . kamu wc kurang bagus dan kurang bersih .,tidak sesuai dengan gambar,NEG,"([-1], [1, 2, 3, 4], ","(hotel, tidak sesuai dengan gambar, ","([-1], [1, 2, 3, 4], 'NEG')","(hotel, tidak sesuai dengan gambar, negatif)",TRUE
345,bersih dan lokasi strategis .,bersih,POS,"([-1], [0], ","(hotel, bersih, ","([-1], [0], 'POS')","(hotel, bersih, positif)",TRUE
346,"kamarnya besih banget , luas , kamar mandi oke , ada poolnya . pelayanannya juga bagus sekali . recommended lah pokoknya .",recommended,POS,"([-1], [18], ","(hotel, recommended, ","([-1], [18], 'POS')","(hotel, recommended, positif)",TRUE
348,"lumayan , sayang kamar agak redup lampunya .",lumayan,POS,"([-1], [0], ","(hotel, lumayan, ","([-1], [0], 'POS')","(hotel, lumayan, positif)",TRUE
353,"kamarnya bersih , tidak mengecewakan , strategis untuk kemanamana .",tidak mengecewakan,NEU,"([0], [3, 4], ","(hotel, tidak mengecewakan, ","([0], [3, 4], 'NEU')","(hotel, tidak mengecewakan, netral)",TRUE
353,"kamarnya bersih , tidak mengecewakan , strategis untuk kemanamana .",strategis,POS,"([-1], [6], ","(hotel, strategis, ","([-1], [6], 'POS')","(hotel, strategis, positif)",TRUE
356,cukup hanya lift nya di perbaiki . karena sudah kelihatan sudah lama sekali .,cukup,-,"([-1], [0], ","(hotel, cukup, ","([-1], [0], '-')",#N/A,FALSE
358,nyaman sih tetapi toilet kurang bersih saja .,nyaman,POS,"([-1], [0], ","(hotel, nyaman, ","([-1], [0], 'POS')","(hotel, nyaman, positif)",TRUE
360,"mantap , pelayanan ramah , kamar bersih .",mantap,POS,"([-1], [0], ","(hotel, mantap, ","([-1], [0], 'POS')","(hotel, mantap, positif)",TRUE
369,"lumayan . sayang ada 1 hari yang kamar tidak di bersihkan dan tidak dapat minuman , dikarenakan tidak adanya pegawai .",lumayan,POS,"([-1], [0], ","(hotel, lumayan, ","([-1], [0], 'POS')","(hotel, lumayan, positif)",TRUE
387,"kamar nya bersih sekali , adem , nyaman pkoknya . harga sesuai banget sama kantong . very recomended .",very recomended,POS,"([-1], [16, 17], ","(hotel, very recomended, ","([-1], [16, 17], 'POS')","(hotel, very recomended, positif)",TRUE
390,"bagus , hanya agak kecil air kamar mandinya .",bagus,POS,"([-1], [0], ","(hotel, bagus, ","([-1], [0], 'POS')","(hotel, bagus, positif)",TRUE
398,"nyaman , cuma tidak ada alas kaki dari hotel .",nyaman,POS,"([-1], [0], ","(hotel, nyaman, ","([-1], [0], 'POS')","(hotel, nyaman, positif)",TRUE
404,lumayan . cuma bantal nya kalau bisa di jemur atau di cuci . niar tidak bau keringat . terimakasih .,lumayan,POS,"([-1], [0], ","(hotel, lumayan, ","([-1], [0], 'POS')","(hotel, lumayan, positif)",TRUE
425,"murah , bersih , dan cukup nyaman . tetapi toiletnya masih harus diperbaiki .",murah,POS,"([-1], [0], ","(hotel, murah, ","([-1], [0], 'POS')","(hotel, murah, positif)",TRUE
425,"murah , bersih , dan cukup nyaman . tetapi toiletnya masih harus diperbaiki .",bersih,POS,"([-1], [2], ","(hotel, bersih, ","([-1], [2], 'POS')","(hotel, bersih, positif)",TRUE
425,"murah , bersih , dan cukup nyaman . tetapi toiletnya masih harus diperbaiki .",cukup nyaman,POS,"([-1], [5, 6], ","(hotel, cukup nyaman, ","([-1], [5, 6], 'POS')","(hotel, cukup nyaman, positif)",TRUE
427,"nyaman , bersih , wifi ngebutt .",nyaman,POS,"([-1], [0], ","(hotel, nyaman, ","([-1], [0], 'POS')","(hotel, nyaman, positif)",TRUE
427,"nyaman , bersih , wifi ngebutt .",bersih,POS,"([-1], [2], ","(hotel, bersih, ","([-1], [2], 'POS')","(hotel, bersih, positif)",TRUE
429,keren . sarapan oke .,keren,POS,"([-1], [0], ","(hotel, keren, ","([-1], [0], 'POS')","(hotel, keren, positif)",TRUE
431,"petugas hotel ramah , kamar wangi dan bersih . hanya sedikit terganggu dengan suara guk guk dari sebelah hotel . untuk makanan menurut saya lumayan , iya overall is good , recommended hotel menurut saya .",recommended,POS,"([32], [31], ","(hotel, recommended, ","([32], [31], 'POS')","(hotel, recommended, positif)",TRUE
435,"saya kecewa , karena : 1 . keran bathtub tidak bekerja dengan baik 2 . toilet tidak bisa dipakai 3 . ac tidak dingin 4 . belum saja check out sudah disuruh check out 5 . tidak ada breakfast yang di janjikan di voucher .",kecewa,NEG,"([-1], [1], ","(hotel, kecewa, ","([-1], [1], 'NEG')","(hotel, kecewa, negatif)",TRUE
450,"sejauh ini baik sih , cuma penginapan nya gelap banget , cat lorong nya warna oren lalu lampu nya warna kuning jadi gelap banget , sempat seram juga sih setiap pulang malam tetapi lama lama iya biasa saja , terus setiap mandi air nya keluar kamar mandi jadi di depan kamar mandi basah semua , awal datang tidak di sediakan selimut dan keset kamar mandi . harus minta .",baik,POS,"([-1], [2], ","(hotel, baik, ","([-1], [2], 'POS')","(hotel, baik, positif)",TRUE
455,"you get what you paid . harga total untuk 3 kamar 1 malam cuma 324000 ( pakai promo airy ) dan di daerah kemang ! lokasi oke , dekat kemang . kamar lumayan besar tetapi agak tidak sesuai foto . karena bangunannya rumah , ukuran kamar berbeda - beda . kolam renang oke . tidak ada air panas untuk mandi dan wifi nya tidak jalan ( padahal username dan password sudah benar ) .",lumayan besar,POS,"([-1], [32, 33], ","(hotel, lumayan besar, ","([-1], [32, 33], 'POS')","(hotel, lumayan besar, positif)",TRUE
455,"you get what you paid . harga total untuk 3 kamar 1 malam cuma 324000 ( pakai promo airy ) dan di daerah kemang ! lokasi oke , dekat kemang . kamar lumayan besar tetapi agak tidak sesuai foto . karena bangunannya rumah , ukuran kamar berbeda - beda . kolam renang oke . tidak ada air panas untuk mandi dan wifi nya tidak jalan ( padahal username dan password sudah benar ) .",tidak jalan,NEG,"([61, 62], [63, 64], ","(hotel, tidak jalan, ","([61, 62], [63, 64], 'NEG')","(hotel, tidak jalan, negatif)",TRUE
459,"bersih rapi seperti biasa , puas sama pelayananya .",bersih,POS,"([-1], [0], ","(hotel, bersih, ","([-1], [0], 'POS')","(hotel, bersih, positif)",TRUE
459,"bersih rapi seperti biasa , puas sama pelayananya .",rapi,POS,"([-1], [1], ","(hotel, rapi, ","([-1], [1], 'POS')","(hotel, rapi, positif)",TRUE
471,"nyaman , bersih , pelayanan terbaik .",nyaman,POS,"([-1], [0], ","(hotel, nyaman, ","([-1], [0], 'POS')","(hotel, nyaman, positif)",TRUE
471,"nyaman , bersih , pelayanan terbaik .",bersih,POS,"([-1], [2], ","(hotel, bersih, ","([-1], [2], 'POS')","(hotel, bersih, positif)",TRUE
476,"penginapannya murah , sangat minimalis dan sangat nyaman untuk tempat beristirahat .",beristirahat,-,"([-1], [10], ","(hotel, beristirahat, ","([-1], [10], '-')",#N/A,FALSE
480,"kamar rapi , sepertinya hotel sudh berumur . agak horor juga iya .",agak horor,NEG,"([4], [8, 9], ","(hotel, agak horor, ","([4], [8, 9], 'NEG')","(hotel, agak horor, negatif)",TRUE
492,"pemandangan disini bagus , ini sudah ke 3 kalinya kesini , untuk kebersihan hotel lumayan , terakhir kesini saya agak kecewa di kasih kamar yang masih ada project pengecatan , jadi bau catnya masih benarbenar pekat dan belum dibersihkan sudah di bisa check in , begini iya kalau sistemnya masih manual , . saya minta ganti kamar kereception yang ibuibu jawabnya agak ketus , .",agak kecewa,NEG,"([-1], [19, 20], ","(hotel, agak kecewa, ","([-1], [19, 20], 'NEG')","(hotel, agak kecewa, negatif)",TRUE
493,sangat ramah pelayanannya . dan bersih tempatnya . pokonya nyaman banget deh .,nyaman banget,POS,"([-1], [9, 10], ","(hotel, nyaman banget, ","([-1], [9, 10], 'POS')","(hotel, nyaman banget, positif)",TRUE
501,"baik , pelayanan , nya ramah dan siap siaga .",baik,POS,"([2], [0], ","(hotel, baik, ","([2], [0], 'POS')","(hotel, baik, positif)",TRUE
504,bersih dan pelayanan yang ramah . terimakasih .,bersih,POS,"([-1], [0], ","(hotel, bersih, ","([-1], [0], 'POS')","(hotel, bersih, positif)",TRUE
515,bagus dan bersih masukan untuk air sangat kecil .,bagus,POS,"([-1], [0], ","(hotel, bagus, ","([-1], [0], 'POS')","(hotel, bagus, positif)",TRUE
