id,sents,expr,polarity,labels,target_repr
77,"tidak sesuai dengan gambar dan tampilan di foto , semua fasilitas sudah tua , wc kotor .",tidak sesuai dengan gambar,-,"([-1], [0, 1, 2, 3], ","(hotel, tidak sesuai dengan gambar, "
86,"lumayan , yang kurang cuma chanel tv , snack , sama alat mandi nya saja . selebihnya bagus .",lumayan,-,"([-1], [0], ","(hotel, lumayan, "
89,baik . penjaga ramah . strategis ke mana mana .,baik,-,"([-1], [0], ","(hotel, baik, "
89,baik . penjaga ramah . strategis ke mana mana .,strategis,-,"([-1], [5], ","(hotel, strategis, "
90,"bersih , nyaman , kamar luas , ada snack , toiletries juga oke .",bersih,-,"([-1], [0], ","(hotel, bersih, "
90,"bersih , nyaman , kamar luas , ada snack , toiletries juga oke .",nyaman,-,"([-1], [2], ","(hotel, nyaman, "
91,pelayanan ramah dan cepat . kondisi kamar nyaman . responsif dan mudah .,responsif,-,"([-1], [9], ","(hotel, responsif, "
91,pelayanan ramah dan cepat . kondisi kamar nyaman . responsif dan mudah .,mudah,-,"([-1], [11], ","(hotel, mudah, "
92,"oke saja , tetapi ac nya berisik banget sudah .",oke,-,"([-1], [0], ","(hotel, oke, "
99,"suka sekali . hotel tempat kami menginap pelayanan ramah , sangat tanggap . hotelnya luar biasa memuaskan . bersih bagus dan sungguh nyaman . pasti akan kembali menginap kalau kelombok lagi . pastinya dengan airy liburan kemana saja selalu memuaskan . terimakasih airy .",sangat tanggap,-,"([-1], [10, 11], ","(hotel, sangat tanggap, "
108,kecil tetapi nyaman . pelayanan cukup oke .,kecil,-,"([-1], [0], ","(hotel, kecil, "
108,kecil tetapi nyaman . pelayanan cukup oke .,nyaman,-,"([-1], [2], ","(hotel, nyaman, "
116,"bagus wih , lokasi oke banget dekat kemanakemana , tetapi tidak terlalu berisik . kamar luas tetapi ac tidak dingin .",bagus,-,"([-1], [0], ","(hotel, bagus, "
123,pintu kamar mandi tidak bisa dikunci . acnya gadingin . ada kecoaknya .,ada kecoaknya,-,"([-1], [10, 11], ","(hotel, ada kecoaknya, "
125,"nyaman , bersih , tv saja yang kurang bagus tidak ada yang bisa ditonton dengan jelas . ac dingin .",nyaman,-,"([-1], [0], ","(hotel, nyaman, "
125,"nyaman , bersih , tv saja yang kurang bagus tidak ada yang bisa ditonton dengan jelas . ac dingin .",bersih,-,"([-1], [2], ","(hotel, bersih, "
127,"bersih , rapi , suasana tenang dan nyaman .",bersih,-,"([-1], [0], ","(hotel, bersih, "
127,"bersih , rapi , suasana tenang dan nyaman .",rapi,-,"([-1], [2], ","(hotel, rapi, "
136,"bangunan yang baru jadi pasti trasa nyaman . fasilitas juga ada pool yang cukup besar dan bersih . tetapi sayang lokasinya yang sedikit ke dalam , kalau cari makanan di malam hari agak susah . jadi harus pakai aplikasi atau pesan ke pihak pengelola hotelnya .",nyaman,-,"([-1], [6], ","(hotel, nyaman, "
141,"kamarnya tidak bersih , seprainya juga seperti tidak meyakinkan begitu , not recomended .",not recomended,-,"([-1], [11, 12], ","(hotel, not recomended, "
148,"tempat bersih , harga sesuai , sangat cocok untuk para traveler bacpacker , tempat nyaman , tenang .",sangat cocok,-,"([-1], [6, 7], ","(hotel, sangat cocok, "
152,"baik , staf ramah .",baik,-,"([-1], [0], ","(hotel, baik, "
154,"sebenarnya sudah terlihat bersih , tetapi mengapa banyak semut di meja dan di tempat tidur , membuat tidak nyaman sekali .",bersih,-,"([-1], [3], ","(hotel, bersih, "
154,"sebenarnya sudah terlihat bersih , tetapi mengapa banyak semut di meja dan di tempat tidur , membuat tidak nyaman sekali .",tidak nyaman sekali,-,"([-1], [17, 18, 19], ","(hotel, tidak nyaman sekali, "
158,"lokasi strategis banget , para stafnya ramahramah . kamar bersih dan wangi pokoknya oke , 4 jempol : ) tidak nyesal deh menginap disini . terimakasih airy dan terimakasih juga buat londres bed dan breakfast : ) .",oke,-,"([-1], [13], ","(hotel, oke, "
160,staf ramah dan kamar bersih recommended .,recommended,-,"([-1], [5], ","(hotel, recommended, "
162,bagus . cuma kasurnya agak berisik .,bagus,-,"([-1], [0], ","(hotel, bagus, "
170,"nyaman , tetapi kamar agak sempit dan bernyamuk .",nyaman,-,"([-1], [0], ","(hotel, nyaman, "
179,bagus . hanya saja tidak ada lift untuk ke lantai 3 . he .,bagus,-,"([-1], [0], ","(hotel, bagus, "
182,nyaman bersih acnya cool sangat .,nyaman,-,"([-1], [0], ","(hotel, nyaman, "
182,nyaman bersih acnya cool sangat .,bersih,-,"([-1], [1], ","(hotel, bersih, "
187,"sangat baik , walaupun terdiri dari lima lantai dan tangga , tidak ada lift , pelayanan sangat baik , tetapi kalau lebih dari 2 orang kena charge .",sangat baik,-,"([-1], [0, 1], ","(hotel, sangat baik, "
189,"untuk kamar standar dari segi kebersihan perlu ditingkatkan , mungkin karena bangunan dan interior lama jadi kesannya kurang nyaman , pelayanan cukup baik , ada snack juga , over all bagus .",kurang nyaman,-,"([-1], [17, 18], ","(hotel, kurang nyaman, "
191,"pelayanan nya benarbenar ramah , pokok nya tidak nyesal .",tidak nyesal,-,"([-1], [7, 8], ","(hotel, tidak nyesal, "
196,"untuk harga yang sangat terjangkau , fasilitasnya melebihi ekspektasi . kamar luas , dingin . sayangnya water heater sedang dibenarkan dan kasur agak keras . cuma untuk harga begini , sangat sangat oke !",sangat sangat oke,-,"([-1], [30, 31, 32], ","(hotel, sangat sangat oke, "
204,"sangat kecewa , wc nya kotor banget , tidak layak pakai dan tv runyem , dan tidak ada makanan snack nya dan gaada paket sabun , samponya .",sangat kecewa,-,"([-1], [0, 1], ","(hotel, sangat kecewa, "
216,"kamar nyaman , bersih , dan karyawannya ramah "" dan baik "" . tetapi sayang tidak kedap suara jadi agak bising karena suara kendaraan kencang . tetapi rekomen banget deh .",agak bising,-,"([-1], [19, 20], ","(hotel, agak bising, "
216,"kamar nyaman , bersih , dan karyawannya ramah "" dan baik "" . tetapi sayang tidak kedap suara jadi agak bising karena suara kendaraan kencang . tetapi rekomen banget deh .",rekomen banget,-,"([-1], [27, 28], ","(hotel, rekomen banget, "
218,tidak nyaman kamar mandi bau tidak ada gantungan baju dan lingkunganya berisik .,tidak nyaman,-,"([-1], [0, 1], ","(hotel, tidak nyaman, "
231,lumayan . sesuai harga murah neriah .,lumayan,-,"([-1], [0], ","(hotel, lumayan, "
237,"kamarnya bersih , nyaman , ac nya dingin , sarapannya juga enak . dan sangat rekomended untuk liburan .",sangat rekomended,-,"([-1], [14, 15], ","(hotel, sangat rekomended, "
241,"cukup memuaskan , hanya tv yang agak mengecewakan .",cukup memuaskan,-,"([-1], [0, 1], ","(hotel, cukup memuaskan, "
254,"bagus , toilet nya aga kotor .",bagus,-,"([-1], [0], ","(hotel, bagus, "
255,"kamarnya luas , pegawainya ramahramah sekali dan sangat membantu . lokasinya juga dekat kalau mau pergi kemanakemana . sarapannya juga enak , puas sekali menginap disini . kalau ke cirebon lagi pasti bakal balik lagi inap disini .",puas sekali,-,"([-1], [22, 23], ","(hotel, puas sekali, "
263,nyaman bersih cuma sayang tidak ada tisu toiletnya .,nyaman,-,"([-1], [0], ","(hotel, nyaman, "
263,nyaman bersih cuma sayang tidak ada tisu toiletnya .,bersih,-,"([-1], [1], ","(hotel, bersih, "
267,"sebenarnya menyenangkan pemandangan indah , tetaoi kurang terawat dan sewaktu saya datang lantai menuju kamar masih sangat kotor .",kurang terawat,-,"([-1], [6, 7], ","(hotel, kurang terawat, "
269,"bersama temanteman menginap di beberapa kamar dengan airy , ada handuk yang bau , lorong menuju kamar bau rokok , ada selimut yang kotor , ada bantal airy biru bau keringat , tempat makan outdoor juga tidak bebas rokok padahal banyak anak - anak , wifi oke banget .",ada,-,"([-1], [25], ","(hotel, ada, "
284,"kamar bagus dan karyawan ramah , tetapi satu hal hanya waktu sarapan pukul 8wita belum siap dan baru di buat ! payah . andai kalau aku tidak turun kamar mungkin tidak di sediakan . untuk lainnya good .",payah,-,"([-1], [21], ","(hotel, payah, "
291,lumayan nyaman cuma fasilitas nya kurang .,lumayan nyaman,-,"([-1], [0, 1], ","(hotel, lumayan nyaman, "
301,"lumayan dan bersih , cuma handle pintu kamar mandinya tidak ada .",lumayan,-,"([-1], [0], ","(hotel, lumayan, "
301,"lumayan dan bersih , cuma handle pintu kamar mandinya tidak ada .",bersih,-,"([-1], [2], ","(hotel, bersih, "
302,"bersih dan nyaman , sayang tidak ada tv kabel .",bersih,-,"([-1], [0], ","(hotel, bersih, "
302,"bersih dan nyaman , sayang tidak ada tv kabel .",nyaman,-,"([-1], [2], ","(hotel, nyaman, "
314,"lumayan , keseluruhan nyaman sayangnya , ada beberapa hal yang harus diperhatikan , kurangnya kebersihan pada kamar , ada bekas rexona di bawah kasur dari tamu awal , tetapi selebihnya luar biasa . nyaman , wifi cepat . pelayanan yang baik . terimakasih . rekomended buat backpacker yang bingung cari tempat untuk menginap , terimakasih airy . anda memang kece .",lumayan,-,"([-1], [0], ","(hotel, lumayan, "
331,lumayan . harga murmer . fasilitas standar hotel . untuk makanan agak kurang sih tetapi overall good .,lumayan,-,"([-1], [0], ","(hotel, lumayan, "
332,cukup bersih meski tanpa sarapan . wifi dan tv perlu pembenahan karena tidak jalan .,cukup bersih,-,"([-1], [0, 1], ","(hotel, cukup bersih, "
334,"untuk yang skg sedikit agak mengecewakan dengan toiletnya . toiletnya bau iya , sehingga menggaggu untuk kami . apalagi pas pagi itu bau banget . jadi bangun tidur tidak nyaman begitu . kalau bisa minta tolong di perbaiki pihak hotelnya mgkin ada yang tersumbat . terima kasih .",tidak,-,"([-1], [28], ","(hotel, tidak, "
340,aslinya tidak sesuai dengan gambar . kamu wc kurang bagus dan kurang bersih .,tidak sesuai dengan gambar,-,"([-1], [1, 2, 3, 4], ","(hotel, tidak sesuai dengan gambar, "
345,bersih dan lokasi strategis .,bersih,-,"([-1], [0], ","(hotel, bersih, "
346,"kamarnya besih banget , luas , kamar mandi oke , ada poolnya . pelayanannya juga bagus sekali . recommended lah pokoknya .",recommended,-,"([-1], [18], ","(hotel, recommended, "
348,"lumayan , sayang kamar agak redup lampunya .",lumayan,-,"([-1], [0], ","(hotel, lumayan, "
353,"kamarnya bersih , tidak mengecewakan , strategis untuk kemanamana .",tidak mengecewakan,-,"([-1], [3, 4], ","(hotel, tidak mengecewakan, "
353,"kamarnya bersih , tidak mengecewakan , strategis untuk kemanamana .",strategis,-,"([-1], [6], ","(hotel, strategis, "
356,cukup hanya lift nya di perbaiki . karena sudah kelihatan sudah lama sekali .,cukup,-,"([-1], [0], ","(hotel, cukup, "
358,nyaman sih tetapi toilet kurang bersih saja .,nyaman,-,"([-1], [0], ","(hotel, nyaman, "
360,"mantap , pelayanan ramah , kamar bersih .",mantap,-,"([-1], [0], ","(hotel, mantap, "
369,"lumayan . sayang ada 1 hari yang kamar tidak di bersihkan dan tidak dapat minuman , dikarenakan tidak adanya pegawai .",lumayan,-,"([-1], [0], ","(hotel, lumayan, "
387,"kamar nya bersih sekali , adem , nyaman pkoknya . harga sesuai banget sama kantong . very recomended .",very recomended,-,"([-1], [16, 17], ","(hotel, very recomended, "
390,"bagus , hanya agak kecil air kamar mandinya .",bagus,-,"([-1], [0], ","(hotel, bagus, "
398,"nyaman , cuma tidak ada alas kaki dari hotel .",nyaman,-,"([-1], [0], ","(hotel, nyaman, "
404,lumayan . cuma bantal nya kalau bisa di jemur atau di cuci . niar tidak bau keringat . terimakasih .,lumayan,-,"([-1], [0], ","(hotel, lumayan, "
425,"murah , bersih , dan cukup nyaman . tetapi toiletnya masih harus diperbaiki .",murah,-,"([-1], [0], ","(hotel, murah, "
425,"murah , bersih , dan cukup nyaman . tetapi toiletnya masih harus diperbaiki .",bersih,-,"([-1], [2], ","(hotel, bersih, "
425,"murah , bersih , dan cukup nyaman . tetapi toiletnya masih harus diperbaiki .",cukup nyaman,-,"([-1], [5, 6], ","(hotel, cukup nyaman, "
427,"nyaman , bersih , wifi ngebutt .",nyaman,-,"([-1], [0], ","(hotel, nyaman, "
427,"nyaman , bersih , wifi ngebutt .",bersih,-,"([-1], [2], ","(hotel, bersih, "
429,keren . sarapan oke .,keren,-,"([-1], [0], ","(hotel, keren, "
431,"petugas hotel ramah , kamar wangi dan bersih . hanya sedikit terganggu dengan suara guk guk dari sebelah hotel . untuk makanan menurut saya lumayan , iya overall is good , recommended hotel menurut saya .",recommended,-,"([-1], [31], ","(hotel, recommended, "
435,"saya kecewa , karena : 1 . keran bathtub tidak bekerja dengan baik 2 . toilet tidak bisa dipakai 3 . ac tidak dingin 4 . belum saja check out sudah disuruh check out 5 . tidak ada breakfast yang di janjikan di voucher .",kecewa,-,"([-1], [1], ","(hotel, kecewa, "
450,"sejauh ini baik sih , cuma penginapan nya gelap banget , cat lorong nya warna oren lalu lampu nya warna kuning jadi gelap banget , sempat seram juga sih setiap pulang malam tetapi lama lama iya biasa saja , terus setiap mandi air nya keluar kamar mandi jadi di depan kamar mandi basah semua , awal datang tidak di sediakan selimut dan keset kamar mandi . harus minta .",baik,-,"([-1], [2], ","(hotel, baik, "
455,"you get what you paid . harga total untuk 3 kamar 1 malam cuma 324000 ( pakai promo airy ) dan di daerah kemang ! lokasi oke , dekat kemang . kamar lumayan besar tetapi agak tidak sesuai foto . karena bangunannya rumah , ukuran kamar berbeda - beda . kolam renang oke . tidak ada air panas untuk mandi dan wifi nya tidak jalan ( padahal username dan password sudah benar ) .",lumayan besar,-,"([-1], [32, 33], ","(hotel, lumayan besar, "
455,"you get what you paid . harga total untuk 3 kamar 1 malam cuma 324000 ( pakai promo airy ) dan di daerah kemang ! lokasi oke , dekat kemang . kamar lumayan besar tetapi agak tidak sesuai foto . karena bangunannya rumah , ukuran kamar berbeda - beda . kolam renang oke . tidak ada air panas untuk mandi dan wifi nya tidak jalan ( padahal username dan password sudah benar ) .",tidak jalan,-,"([-1], [63, 64], ","(hotel, tidak jalan, "
459,"bersih rapi seperti biasa , puas sama pelayananya .",bersih,-,"([-1], [0], ","(hotel, bersih, "
459,"bersih rapi seperti biasa , puas sama pelayananya .",rapi,-,"([-1], [1], ","(hotel, rapi, "
471,"nyaman , bersih , pelayanan terbaik .",nyaman,-,"([-1], [0], ","(hotel, nyaman, "
471,"nyaman , bersih , pelayanan terbaik .",bersih,-,"([-1], [2], ","(hotel, bersih, "
476,"penginapannya murah , sangat minimalis dan sangat nyaman untuk tempat beristirahat .",beristirahat,-,"([-1], [10], ","(hotel, beristirahat, "
480,"kamar rapi , sepertinya hotel sudh berumur . agak horor juga iya .",agak horor,-,"([-1], [8, 9], ","(hotel, agak horor, "
492,"pemandangan disini bagus , ini sudah ke 3 kalinya kesini , untuk kebersihan hotel lumayan , terakhir kesini saya agak kecewa di kasih kamar yang masih ada project pengecatan , jadi bau catnya masih benarbenar pekat dan belum dibersihkan sudah di bisa check in , begini iya kalau sistemnya masih manual , . saya minta ganti kamar kereception yang ibuibu jawabnya agak ketus , .",agak kecewa,-,"([-1], [19, 20], ","(hotel, agak kecewa, "
493,sangat ramah pelayanannya . dan bersih tempatnya . pokonya nyaman banget deh .,nyaman banget,-,"([-1], [9, 10], ","(hotel, nyaman banget, "
501,"baik , pelayanan , nya ramah dan siap siaga .",baik,-,"([-1], [0], ","(hotel, baik, "
504,bersih dan pelayanan yang ramah . terimakasih .,bersih,-,"([-1], [0], ","(hotel, bersih, "
515,bagus dan bersih masukan untuk air sangat kecil .,bagus,-,"([-1], [0], ","(hotel, bagus, "
515,bagus dan bersih masukan untuk air sangat kecil .,bersih,-,"([-1], [2], ","(hotel, bersih, "
519,"pelayanan sangat memuaskan semua peralatan bersih , fasilitas oke receomended banget pokoknya .",receomended banget,-,"([-1], [9, 10], ","(hotel, receomended banget, "
528,"bagus , cuma untuk sarapan pagi iya disediakan juga roti selai , teh , kopi , buah sesuai dengan harga kamar biar pelanggan puas jangan cuma satu menu , harga kamar lumanyan mahal sarapan cuma naskun saja .",bagus,-,"([-1], [0], ","(hotel, bagus, "
529,check in out cepat ac dingin kamu bersih kamar besih kasur nyaman bisa numpang cuci pakai mesin cuci ada jemuran ada wifi kamar bau lepek design kurang menarik karena memakai semen seperti didesa selimut kurang tebal .,bersih,-,"([-1], [7], ","(hotel, bersih, "
550,"bagus , rapi , pelayanan baik , tetapi airnya sangat buruk , rasa air laut .",bagus,-,"([-1], [0], ","(hotel, bagus, "
550,"bagus , rapi , pelayanan baik , tetapi airnya sangat buruk , rasa air laut .",rapi,-,"([-1], [2], ","(hotel, rapi, "
554,menyenangkan dan nyaman tetapi untuk peralatan keamanan masih manual contoh pintu pagar belum di lengkapi dengan peralatan seperti pintu otomatis dengan menggunakan pin .,menyenangkan,-,"([-1], [0], ","(hotel, menyenangkan, "
554,menyenangkan dan nyaman tetapi untuk peralatan keamanan masih manual contoh pintu pagar belum di lengkapi dengan peralatan seperti pintu otomatis dengan menggunakan pin .,nyaman,-,"([-1], [2], ","(hotel, nyaman, "
555,"kamarnya dicat ulang , kalau perlu didekor ulang biar kelihatan hidup , cerminnya jangan cermin angker dong , tidak bisa ngaca , ac nya dibenarkan dong biar tidak matimati sendiri , tolong seranggaserangga dibasmi juga , tetapi petugas dan staf ramah maksimal ! lokasi hotel dekat pvj banget , lokasi bagus sayang kalau tidak dimaksimalkan , terimakasih .",matimati sendiri,-,"([-1], [28, 29], ","(hotel, matimati sendiri, "
560,"baru pertama x coba airy rooms . suka banget deh , perlatan mandi lengkap plus bonus snack juga dari airy .",suka banget,-,"([-1], [7, 8], ","(hotel, suka banget, "
566,"lumayanlah , sayang air panasnya tidak berfungsi .",lumayanlah,-,"([-1], [0], ","(hotel, lumayanlah, "
570,"ini adalah yang kedua menginap di airy anggrek satu 18 . ac lebih dingin dari yang pertama , kamar lebih luas . sayangnya dikasih smoking room , padahal setau saya airy non smoking semua . jadi pertama masuk bau asap rokok . tetapi so far sih senengseneng saja menginap di sini .",senengseneng,-,"([-1], [46], ","(hotel, senengseneng, "
573,tempat bersih pelayanan ramah recomended harga murah .,recomended,-,"([-1], [4], ","(hotel, recomended, "
575,"nyaman , tenang , bersih , pelayanan ramah , hanya susah sinyal dan wifi tidak bisa tersambung .",nyaman,-,"([-1], [0], ","(hotel, nyaman, "
575,"nyaman , tenang , bersih , pelayanan ramah , hanya susah sinyal dan wifi tidak bisa tersambung .",tenang,-,"([-1], [2], ","(hotel, tenang, "
575,"nyaman , tenang , bersih , pelayanan ramah , hanya susah sinyal dan wifi tidak bisa tersambung .",bersih,-,"([-1], [4], ","(hotel, bersih, "
575,"nyaman , tenang , bersih , pelayanan ramah , hanya susah sinyal dan wifi tidak bisa tersambung .",susah sinyal,-,"([-1], [10, 11], ","(hotel, susah sinyal, "
583,"saya sangat suka dengan dengan pelayanan , kebersihan kamar , kebersihan dapur dll. dengan harga yang di tawarkan saya rasa sangat worth it lah menginap disini .",sangat worth,-,"([-1], [20, 21], ","(hotel, sangat worth, "
584,sudah 2 x di sini nyaman dengan harga terjangkau .,nyaman,-,"([-1], [5], ","(hotel, nyaman, "
591,"cukup baik untuk kamar dengan harga 100ribu malam , kamar bersih , ac berfungsi , tv lcd berfungsi , kasur springbed nyaman dan bersih , hanya saja untuk kamar mandi tidak dilengkapi exhaust fan sehingga agak bau , air dari kamar mandi juga mengalir keluar masuk ke kamar .",cukup baik,-,"([-1], [0, 1], ","(hotel, cukup baik, "
593,menyenangkan . dengan harga murah tetapi nyaman . cuma kurang perabotan seperti meja dan kursi .,menyenangkan,-,"([-1], [0], ","(hotel, menyenangkan, "
593,menyenangkan . dengan harga murah tetapi nyaman . cuma kurang perabotan seperti meja dan kursi .,nyaman,-,"([-1], [6], ","(hotel, nyaman, "
599,nyaman dan harga terjangkau .,nyaman,-,"([-1], [0], ","(hotel, nyaman, "
604,top . pelayanan memuaskan .,top,-,"([-1], [0], ","(hotel, top, "
609,"baik cuma buat masukkan kedepannya , kemarin seprainya agak demek seperti belum kering , dengan kondisi musim hujan , menyarankan agar diperhatikan hal tersebut terima kasih .",baik,-,"([-1], [0], ","(hotel, baik, "
624,"cukup baik . waktu pertama masuk kamar , kamarnya bau . shower air panas tidak berfungai . padahal sudah panggil petugas .",cukup baik,-,"([-1], [0, 1], ","(hotel, cukup baik, "
625,"kamarnya bersih , rapi , alat mandi lengkap , dan disediakan makanan ringan di dalam kamar . sarapan roti dan minuman seduh sendiri . sangat direkomendasi buat yang budget minimal . terimakasih .",sangat direkomendasi,-,"([-1], [24, 25], ","(hotel, sangat direkomendasi, "
627,"rapi , nyaman tempatnya , cuma sedikit untuk toilet diberi pengharum iya , overall baguus .",rapi,-,"([-1], [0], ","(hotel, rapi, "
634,"kamar luas , bersih , lokasi dekat dengan pusat perbelanjaan dan kuliner , pokoknya recommended .",recommended,-,"([-1], [14], ","(hotel, recommended, "
635,"jujur saya kecewa banget sama hotel airy yang di jamin ginting selayang , beda banget sama di foto . kamarnya bau , tempat tidurnya bau , selimutnya juga , kamar mandinya tidak layak banget . saya sudah pesan 3 hari , tetapi baru check in sejam saya dan teman saya langsung pulang . gila kecewa banget .",kecewa banget,-,"([-1], [54, 55], ","(hotel, kecewa banget, "
637,"pelayanan ramah . bersih , nyaman .",bersih,-,"([-1], [3], ","(hotel, bersih, "
637,"pelayanan ramah . bersih , nyaman .",nyaman,-,"([-1], [5], ","(hotel, nyaman, "
642,baik . ac dingin . cuma lampu gelap .,baik,-,"([-1], [0], ","(hotel, baik, "
644,"sangat nyaman seperti di rumah , ownernya ramah . mksh iya : ) .",sangat nyaman,-,"([-1], [0, 1], ","(hotel, sangat nyaman, "
661,"lokasi sangat strategis , parkir luas , air hangat berfungsi dengan baik . kurang bersih , selimut agak bau , dan tv kabel tidak berfungsi .",kurang bersih,-,"([-1], [13, 14], ","(hotel, kurang bersih, "
662,"tempatnya bersih , kemarin saya tinggal 3 hari tetapi sayang airnya mati pas kemarin di pakai , iya meskipun hidup lagi menunggu 10 menit , lumayan bagus .",lumayan bagus,-,"([-1], [25, 26], ","(hotel, lumayan bagus, "
670,hotel tidak ditemukan sudah mutermuter ikuti peta sampai jam 3 pagi dan sebagai pelanggan sangat kecewa .,sangat kecewa,-,"([-1], [14, 15], ","(hotel, sangat kecewa, "
671,"bersih . full ac , airnya memang agak asin .",bersih,-,"([-1], [0], ","(hotel, bersih, "
675,"sikat gigi tidak ada , sabun tidak ada , pintu tidak bisa dikunci , kamar berisik terdengar suara kendaraa , tidak sesuai ekspektasi dan review .",tidak sesuai ekspektasi,-,"([-1], [20, 21, 22], ","(hotel, tidak sesuai ekspektasi, "
676,"denah peta ke lokasi kurang jelas , cukup nyaman kalau untuk transit ke kota tujuan , gabung dengan koskosan .",cukup nyaman,-,"([-1], [7, 8], ","(hotel, cukup nyaman, "
682,"nyaman dan bersih sekali , cuma minus showernya mati : ) .",nyaman,-,"([-1], [0], ","(hotel, nyaman, "
682,"nyaman dan bersih sekali , cuma minus showernya mati : ) .",bersih sekali,-,"([-1], [2, 3], ","(hotel, bersih sekali, "
683,"lumayan buat backpakeran seperti kita , harga terjangkau dan dekat dari pusatpusat perbelanjaan .",lumayan,-,"([-1], [0], ","(hotel, lumayan, "
684,"lumayan , lebih seperti kos ber ac , kamar mandi berisik dengan suara tidak jelas , colokan cuma ada 1 jadi saya harus pinjam t , tetapi not bad .",lumayan,-,"([-1], [0], ","(hotel, lumayan, "
